Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	decay	inflexion	seed	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events
Simulation_61	1.326	0.059	0.186	0.093	0.599	1.377	-0.048	1472	61	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_62	1.134	0.036	0.122	0.02	1.234	0.89	-0.81	1088	62	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_63	0.75	0.082	0.25	0.069	2.504	1.863	0.714	1856	63	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_64	0.756	0.045	0.147	0.082	1.016	1.757	-0.31	1556	64	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_65	1.14	0.091	0.275	0.033	2.286	0.784	1.214	788	65	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_66	1.332	0.022	0.083	0.057	2.921	1.27	0.452	1940	66	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_67	0.948	0.068	0.211	0.009	1.651	0.298	-1.071	1172	67	12000	1000	1	500	111	0	4715	1	5415	5415	0
Simulation_68	1.044	0.011	0.053	0.094	2.603	0.541	-0.69	596	68	12000	1000	1	500	111	0	4806	1	3650	3650	0
Simulation_69	1.428	0.057	0.181	0.045	1.333	1.514	0.833	1364	69	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_70	1.236	0.034	0.117	0.07	0.698	1.027	0.071	980	70	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_71	0.852	0.08	0.244	0.021	1.968	2	-1.452	1748	71	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_72	0.9	0.028	0.1	0.051	2.127	1.878	-0.119	884	72	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_73	1.284	0.074	0.228	0.1	0.857	0.906	1.405	1652	73	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_74	1.476	0.051	0.164	0.027	1.492	1.392	0.643	500	74	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_75	1.092	0.097	0.292	0.076	2.762	0.419	-0.881	1268	75	12000	1000	1	500	111	0	363	1	6404	6404	0
Simulation_76	0.996	0.04	0.133	0.039	1.175	0.176	-0.5	1844	76	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_77	1.38	0.086	0.261	0.088	2.444	1.149	1.024	1076	77	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_78	1.188	0.016	0.067	0.015	1.81	0.662	0.262	1460	78	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_79	0.804	0.063	0.197	0.064	0.54	1.635	-1.262	692	79	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_80	0.828	0.019	0.075	0.067	1.73	1.088	1.31	1124	80	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_81	1.212	0.065	0.203	0.018	3	0.115	-0.214	1892	81	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_82	1.404	0.042	0.139	0.091	2.365	1.574	-0.976	740	82	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_83	1.02	0.088	0.267	0.042	1.095	0.602	0.548	1508	83	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_84	1.116	0.054	0.172	0.054	2.048	0.845	0.929	1700	84	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_85	1.5	0.1	0.3	0.006	0.778	1.818	-0.595	932	85	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_86	1.308	0.031	0.108	0.079	1.413	0.358	-1.357	1316	86	12000	1000	1	500	111	0	4802	1	4486	4486	0
Simulation_87	0.924	0.077	0.236	0.03	2.683	1.331	0.167	548	87	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_88	0.876	0.037	0.125	0.012	2.841	1.453	1.5	1412	88	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_89	1.26	0.083	0.253	0.06	1.571	0.48	-0.024	644	89	12000	1000	1	500	111	0	4757	1	3801	3801	0
Simulation_90	1.452	0.014	0.061	0.036	0.937	1.939	-0.786	1796	90	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_91	1.068	0.06	0.189	0.085	2.206	0.966	0.738	1028	91	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_92	0.972	0.025	0.092	0.024	0.619	0.723	1.119	836	92	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_93	1.356	0.071	0.219	0.073	1.889	1.696	-0.405	1604	93	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_94	1.164	0.048	0.156	0.048	2.524	0.237	-1.167	1220	94	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_95	0.78	0.094	0.283	0.097	1.254	1.21	0.357	1988	95	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_96	0.768	0.021	0.081	0.038	1.77	0.997	-1.119	668	96	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_97	1.152	0.067	0.208	0.086	0.5	1.97	0.405	1436	97	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_98	1.344	0.044	0.144	0.013	1.135	0.51	1.167	1052	98	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_99	0.96	0.09	0.272	0.062	2.405	1.483	-0.357	1820	99	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_100	1.056	0.032	0.111	0.05	1.452	1.24	-1.5	1628	100	12000	1000	1	500	111	1	0	1	1	1	0
