Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	33	33	0	1	0.950625200384739	29
Simulation_2	2.501	0.032	0.111	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
Simulation_3	1.495	0.078	0.239	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	17	17	0	1	0.103558832959282	15
Simulation_4	1.747	0.044	0.144	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	77	77	0	1	0.974671369028535	70
Simulation_5	2.752	0.089	0.269	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.115421609490221	-1
Simulation_6	2.25	0.021	0.081	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	8	8	0	1	0.352997755690927	8
Simulation_7	1.244	0.066	0.206	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	0	92	1	1389	1390	1	1	0.205514588008977	390
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_10	2.878	0.015	0.064	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	14	17	3	0	-1	-1
Simulation_11	1.872	0.061	0.192	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	74	75	1	1	0.388586085283745	42
Simulation_12	1.621	0.027	0.097	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	218	221	3	1	0.862135299775569	216
Simulation_13	2.627	0.072	0.222	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	66	66	0	1	0.101635139467778	25
Simulation_14	2.124	0.049	0.158	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_15	1.118	0.095	0.286	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	0	182	1	1325	1325	0	1	0.167361333760821	415
Simulation_16	1.181	0.052	0.167	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	0	72	1	2091	2097	6	1	1	1247
Simulation_17	2.187	0.097	0.292	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	70	70	0	1	0.141712087207438	52
Simulation_18	2.69	0.029	0.103	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_19	1.684	0.075	0.231	0.1	0.574	0.634	19	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_20	1.935	0.018	0.072	0.046	2.142	0.747	20	0.05	12000	1000	1	500	111	1	0	1	282	290	8	1	0.0737415838409747	111
Simulation_21	2.941	0.063	0.197	0.118	0.887	0.294	21	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.12504007694774	2
Simulation_22	2.438	0.041	0.136	0.009	1.515	0.973	22	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.185315806348189	10
Simulation_23	1.432	0.086	0.261	0.082	2.77	0.521	23	0.05	12000	1000	1	500	111	0	101	1	1354	1354	0	1	0.156460403975633	461
Simulation_24	1.306	0.024	0.089	0.128	2.613	0.464	24	0.05	12000	1000	1	500	111	1	0	1	20	20	0	0	-1	-1
Simulation_25	2.312	0.069	0.214	0.055	1.358	0.917	25	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0965052901571016	3
Simulation_26	2.815	0.046	0.15	0.091	0.73	0.238	26	0.05	12000	1000	1	500	111	1	0	1	96	96	0	1	0.849951907662712	37
Simulation_27	1.809	0.092	0.278	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111	0	23	1	1247	1248	1	1	0.352035908945175	548
Simulation_28	1.558	0.035	0.119	0.146	1.044	0.577	28	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_29	2.564	0.08	0.244	0.073	2.299	0.125	29	0.05	12000	1000	1	500	111	1	0	1	38	38	0	1	0.107085604360372	24
Simulation_30	2.061	0.012	0.056	0.109	2.926	0.804	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_31	1.055	0.058	0.183	0.037	1.672	0.351	31	0.05	12000	1000	1	500	111	0	138	1	3379	3379	0	0	-1	-1
Simulation_32	1.086	0.034	0.117	0.089	2.26	0.676	32	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_33	2.092	0.079	0.242	0.016	1.005	0.224	33	0.05	12000	1000	1	500	111	1	0	1	200	200	0	1	0.54248156460404	89
Simulation_34	2.595	0.011	0.053	0.125	1.632	0.903	34	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_35	1.589	0.056	0.178	0.052	2.887	0.45	35	0.05	12000	1000	1	500	111	1	0	1	157	157	0	1	0.201025969862135	107
Simulation_36	1.841	0.022	0.083	0.107	1.319	0.337	36	0.05	12000	1000	1	500	111	1	0	1	31	36	5	0	-1	-1
Simulation_37	2.847	0.068	0.211	0.034	2.574	0.79	37	0.05	12000	1000	1	500	111	1	0	1	221	221	0	1	0.12151330554665	113
Simulation_38	2.344	0.045	0.147	0.143	1.946	0.111	38	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_39	1.338	0.09	0.272	0.071	0.691	0.563	39	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_40	1.464	0.017	0.069	0.025	0.848	0.62	40	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_41	2.47	0.062	0.194	0.098	2.103	0.167	41	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.10965052901571	8
Simulation_42	2.972	0.039	0.131	0.062	2.73	0.846	42	0.05	12000	1000	1	500	111	1	0	1	27	27	0	1	0.922411029176018	26
Simulation_43	1.967	0.085	0.258	0.134	1.475	0.394	43	0.05	12000	1000	1	500	111	1	0	1	428	428	0	1	0.477396601474832	211
Simulation_44	1.715	0.051	0.164	0.007	2.417	0.507	44	0.05	12000	1000	1	500	111	1	0	1	106	106	0	1	0.201346585444053	8
Simulation_45	2.721	0.096	0.289	0.08	1.162	0.959	45	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_46	2.218	0.028	0.1	0.043	0.534	0.28	46	0.05	12000	1000	1	500	111	1	0	1	7	8	1	1	0.385700545046489	7
Simulation_47	1.212	0.073	0.225	0.116	1.789	0.733	47	0.05	12000	1000	1	500	111	1	0	1	762	767	5	1	0.847066367425457	302
Simulation_48	1.149	0.031	0.108	0.148	2.966	0.988	48	0.05	12000	1000	1	500	111	1	0	1	2892	2947	55	1	0.481243988457839	1200
Simulation_49	2.155	0.076	0.233	0.075	1.711	0.535	49	0.05	12000	1000	1	500	111	1	0	1	377	377	0	1	0.356845142673934	182
Simulation_50	2.658	0.053	0.169	0.112	1.083	0.761	50	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_51	1.652	0.099	0.297	0.039	2.338	0.309	51	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.134658544405258	5
Simulation_52	1.904	0.042	0.139	0.13	0.77	0.195	52	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_53	2.91	0.087	0.264	0.057	2.025	0.648	53	0.05	12000	1000	1	500	111	1	0	1	169	169	0	1	0.130490541840333	111
Simulation_54	2.407	0.02	0.078	0.093	2.652	0.422	54	0.05	12000	1000	1	500	111	1	0	1	10	10	0	0	-1	-1
Simulation_55	1.401	0.065	0.203	0.021	1.397	0.874	55	0.05	12000	1000	1	500	111	1	0	1	75	75	0	1	0.500160307790959	43
Simulation_56	1.275	0.048	0.156	0.048	1.554	0.818	56	0.05	12000	1000	1	500	111	1	0	1	48	50	2	1	0.91984610452068	33
Simulation_57	2.281	0.093	0.281	0.121	2.809	0.365	57	0.05	12000	1000	1	500	111	1	0	1	26	26	0	1	0.123436999038153	14
Simulation_58	2.784	0.025	0.092	0.012	2.181	0.592	58	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_59	1.778	0.07	0.217	0.084	0.926	0.139	59	0.05	12000	1000	1	500	111	0	44	1	1488	1488	0	1	0.228278294325104	454
Simulation_60	1.527	0.014	0.061	0.066	1.868	0.252	60	0.05	12000	1000	1	500	111	1	0	1	25	26	1	0	-1	-1
Simulation_61	2.532	0.059	0.186	0.139	0.613	0.705	61	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_62	2.029	0.037	0.125	0.03	1.24	0.478	62	0.05	12000	1000	1	500	111	1	0	1	140	140	0	1	0.977236293683873	134
Simulation_63	1.024	0.082	0.25	0.103	2.495	0.931	63	0.05	12000	1000	1	500	111	0	122	1	1210	1210	0	1	0.75120230843219	525
Simulation_64	1.039	0.046	0.15	0.122	1.025	0.882	64	0.05	12000	1000	1	500	111	1	0	1	7	8	1	1	0.478037832638666	7
Simulation_65	2.045	0.091	0.275	0.049	2.279	0.429	65	0.05	12000	1000	1	500	111	1	0	1	434	434	0	0	-1	-1
Simulation_66	2.548	0.023	0.086	0.085	2.907	0.655	66	0.05	12000	1000	1	500	111	0	22	1	2209	2236	27	0	-1	-1
Simulation_67	1.542	0.068	0.211	0.013	1.652	0.203	67	0.05	12000	1000	1	500	111	1	0	1	162	162	0	1	0.19814042962488	120
Simulation_68	1.794	0.012	0.056	0.14	2.593	0.316	68	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_69	2.8	0.057	0.181	0.067	1.338	0.768	69	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.067329272202629	3
Simulation_70	2.297	0.034	0.117	0.104	0.711	0.542	70	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_71	1.291	0.08	0.244	0.031	1.966	0.995	71	0.05	12000	1000	1	500	111	1	0	1	128	128	0	1	0.117986534145559	81
Simulation_72	1.417	0.029	0.103	0.076	2.123	0.938	72	0.05	12000	1000	1	500	111	1	0	1	551	553	2	1	0.856364219301058	534
Simulation_73	2.422	0.074	0.228	0.149	0.868	0.485	73	0.05	12000	1000	1	500	111	1	0	1	25	25	0	1	0.916639948701507	18
Simulation_74	2.925	0.051	0.164	0.04	1.495	0.712	74	0.05	12000	1000	1	500	111	1	0	1	125	125	0	1	0.984289836486053	65
Simulation_75	1.919	0.097	0.292	0.113	2.75	0.259	75	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_76	1.668	0.04	0.133	0.058	1.181	0.146	76	0.05	12000	1000	1	500	111	1	0	1	736	736	0	1	0.185315806348189	110
Simulation_77	2.674	0.085	0.258	0.131	2.436	0.599	77	0.05	12000	1000	1	500	111	1	0	1	80	80	0	1	0.119589612055146	49
Simulation_78	2.171	0.017	0.069	0.022	1.809	0.372	78	0.05	12000	1000	1	500	111	1	0	1	9	9	0	0	-1	-1
Simulation_79	1.165	0.063	0.197	0.095	0.554	0.825	79	0.05	12000	1000	1	500	111	1	0	1	7	7	0	1	0.64507855081757	7
Simulation_80	1.228	0.02	0.078	0.099	1.73	0.57	80	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_81	2.234	0.066	0.206	0.026	2.985	0.118	81	0.05	12000	1000	1	500	111	1	0	1	48	48	0	1	0.192369349150369	25
Simulation_82	2.737	0.043	0.142	0.136	2.358	0.797	82	0.05	12000	1000	1	500	111	1	0	1	210	210	0	1	0.678422571336967	55
Simulation_83	1.731	0.088	0.267	0.063	1.103	0.344	83	0.05	12000	1000	1	500	111	1	0	1	656	656	0	1	0.141070856043604	291
Simulation_84	1.982	0.054	0.172	0.081	2.044	0.457	84	0.05	12000	1000	1	500	111	1	0	1	146	146	0	1	0.533183712728439	96
Simulation_85	2.988	0.099	0.297	0.008	0.789	0.91	85	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_86	2.485	0.032	0.111	0.117	1.417	0.231	86	0.05	12000	1000	1	500	111	1	0	1	70	71	1	1	0.174735492144918	68
Simulation_87	1.479	0.077	0.236	0.045	2.672	0.683	87	0.05	12000	1000	1	500	111	0	77	1	1428	1428	0	1	0.488938762423854	482
Simulation_88	1.354	0.037	0.125	0.017	2.828	0.74	88	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_89	2.36	0.082	0.25	0.09	1.574	0.287	89	0.05	12000	1000	1	500	111	1	0	1	357	357	0	1	0.127925617184995	163
Simulation_90	2.862	0.015	0.064	0.054	0.946	0.966	90	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_91	1.857	0.06	0.189	0.126	2.201	0.514	91	0.05	12000	1000	1	500	111	1	0	1	987	987	0	1	0.531260019236935	513
Simulation_92	1.605	0.026	0.094	0.035	0.632	0.401	92	0.05	12000	1000	1	500	111	1	0	1	17	17	0	1	0.495992305226034	17
Simulation_93	2.611	0.071	0.219	0.108	1.887	0.853	93	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.464251362616223	6
Simulation_94	2.108	0.049	0.158	0.072	2.515	0.174	94	0.05	12000	1000	1	500	111	1	0	1	53	53	0	1	0.178262263546008	43
Simulation_95	1.102	0.094	0.283	0.145	1.26	0.627	95	0.05	12000	1000	1	500	111	0	35	1	1190	1191	1	1	0.81372234690606	568
Simulation_96	1.071	0.022	0.083	0.056	1.77	0.528	96	0.05	12000	1000	1	500	111	0	64	1	2162	2304	142	1	0.0426418723949984	93
Simulation_97	2.077	0.067	0.208	0.129	0.515	0.981	97	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.301378647002244	2
Simulation_98	2.58	0.044	0.144	0.02	1.142	0.302	98	0.05	12000	1000	1	500	111	1	0	1	113	113	0	1	0.4174414876563	41
Simulation_99	1.574	0.09	0.272	0.092	2.397	0.754	99	0.05	12000	1000	1	500	111	0	64	1	1142	1142	0	1	0.623276691247195	514
Simulation_100	1.825	0.033	0.114	0.074	1.456	0.641	100	0.05	12000	1000	1	500	111	1	0	1	735	735	0	1	0.995831997435075	704
Simulation_101	2.831	0.078	0.239	0.147	2.711	0.188	101	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.0987495992305226	3
Simulation_102	2.328	0.01	0.05	0.038	2.083	0.867	102	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_103	1.322	0.056	0.178	0.11	0.828	0.415	103	0.05	12000	1000	1	500	111	1	0	1	510	511	1	1	0.98589291439564	233
Simulation_104	1.448	0.05	0.161	0.138	0.672	0.358	104	0.05	12000	1000	1	500	111	1	0	1	15	15	0	1	0.468739980763065	11
Simulation_105	2.454	0.095	0.286	0.065	1.926	0.811	105	0.05	12000	1000	1	500	111	1	0	1	25	25	0	1	0.140750240461686	14
Simulation_106	2.957	0.027	0.097	0.101	2.554	0.132	106	0.05	12000	1000	1	500	111	1	0	1	6	6	0	0	-1	-1
Simulation_107	1.951	0.073	0.225	0.029	1.299	0.584	107	0.05	12000	1000	1	500	111	1	0	1	155	155	0	1	0.204873356845143	71
Simulation_108	1.699	0.016	0.067	0.12	2.868	0.698	108	0.05	12000	1000	1	500	111	1	0	1	7	8	1	0	-1	-1
Simulation_109	2.705	0.061	0.192	0.047	1.613	0.245	109	0.05	12000	1000	1	500	111	1	0	1	109	109	0	1	0.195254889387624	67
Simulation_110	2.202	0.039	0.131	0.083	0.985	0.924	110	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_111	1.196	0.084	0.256	0.01	2.24	0.471	111	0.05	12000	1000	1	500	111	0	19	1	1472	1473	1	1	0.373517152933633	589
Simulation_112	1.134	0.041	0.136	0.033	2.475	0.217	112	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_113	2.139	0.087	0.264	0.106	1.221	0.669	113	0.05	12000	1000	1	500	111	1	0	1	19	19	0	1	0.602757294004489	16
Simulation_114	2.642	0.019	0.075	0.07	0.593	0.443	114	0.05	12000	1000	1	500	111	1	0	1	3	4	1	1	0.176979801218339	3
Simulation_115	1.637	0.064	0.2	0.142	1.848	0.896	115	0.05	12000	1000	1	500	111	1	0	1	108	109	1	1	0.756652773324784	68
Simulation_116	1.888	0.03	0.106	0.015	0.907	0.783	116	0.05	12000	1000	1	500	111	1	0	1	127	129	2	1	0.183712728438602	59
Simulation_117	2.894	0.075	0.231	0.088	2.162	0.33	117	0.05	12000	1000	1	500	111	1	0	1	64	64	0	1	0.10965052901571	38
Simulation_118	2.391	0.053	0.169	0.051	2.789	0.556	118	0.05	12000	1000	1	500	111	1	0	1	86	86	0	1	0.221224751522924	30
Simulation_119	1.385	0.098	0.294	0.124	1.534	0.104	119	0.05	12000	1000	1	500	111	1	0	1	176	176	0	1	0.14267393395319	94
Simulation_120	1.259	0.013	0.058	0.079	1.377	0.16	120	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_121	2.265	0.058	0.183	0.006	2.632	0.613	121	0.05	12000	1000	1	500	111	1	0	1	283	283	0	1	0.993267072779737	120
Simulation_122	2.768	0.036	0.122	0.115	2.005	0.386	122	0.05	12000	1000	1	500	111	1	0	1	20	20	0	1	0.156139788393716	11
Simulation_123	1.762	0.081	0.247	0.042	0.75	0.839	123	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_124	1.511	0.047	0.153	0.097	2.319	0.952	124	0.05	12000	1000	1	500	111	0	10	1	1784	1786	2	1	0.822058352035909	511
