Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_125	2.517	0.092	0.278	0.024	1.064	0.5	125	0.05	12000	1000	1	500	111	1	0	1	81	81	0	1	0.132734850913754	51
Simulation_126	2.014	0.024	0.089	0.133	1.691	0.726	126	0.05	12000	1000	1	500	111	1	0	1	63	65	2	1	0.0897723629368387	35
Simulation_127	1.008	0.07	0.217	0.06	2.946	0.273	127	0.05	12000	1000	1	500	111	0	69	1	1605	1605	0	1	0.203911510099391	328
Simulation_128	1.016	0.04	0.133	0.142	1.662	0.475	128	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_129	2.022	0.085	0.258	0.069	2.917	0.928	129	0.05	12000	1000	1	500	111	1	0	1	289	289	0	1	0.661429945495351	166
Simulation_130	2.525	0.017	0.069	0.105	2.289	0.249	130	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_131	1.519	0.062	0.194	0.033	1.034	0.701	131	0.05	12000	1000	1	500	111	1	0	1	91	91	0	1	0.811798653414556	53
Simulation_132	1.77	0.028	0.1	0.124	1.975	0.588	132	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_133	2.776	0.074	0.228	0.051	0.721	0.135	133	0.05	12000	1000	1	500	111	1	0	1	164	164	0	1	0.249118307149727	107
Simulation_134	2.273	0.051	0.164	0.087	1.348	0.814	134	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_135	1.267	0.096	0.289	0.014	2.603	0.362	135	0.05	12000	1000	1	500	111	0	203	1	1377	1380	3	1	0.168002564924655	407
Simulation_136	1.393	0.011	0.053	0.042	2.76	0.418	136	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_137	2.399	0.057	0.181	0.114	1.505	0.871	137	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_138	2.902	0.034	0.117	0.005	0.877	0.192	138	0.05	12000	1000	1	500	111	1	0	1	81	82	1	1	0.0391151009939083	23
Simulation_139	1.896	0.079	0.242	0.078	2.132	0.645	139	0.05	12000	1000	1	500	111	0	3	1	1185	1186	1	1	0.468419365181148	540
Simulation_140	1.644	0.045	0.147	0.06	0.564	0.758	140	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_141	2.65	0.091	0.275	0.133	1.819	0.305	141	0.05	12000	1000	1	500	111	1	0	1	143	143	0	1	0.136582237896762	75
Simulation_142	2.147	0.023	0.086	0.023	2.446	0.984	142	0.05	12000	1000	1	500	111	1	0	1	20	20	0	0	-1	-1
Simulation_143	1.141	0.068	0.211	0.096	1.191	0.531	143	0.05	12000	1000	1	500	111	0	76	1	1379	1380	1	1	0.998717537672331	499
Simulation_144	1.204	0.026	0.094	0.092	1.113	0.277	144	0.05	12000	1000	1	500	111	1	0	1	411	415	4	1	0.03302340493748	24
Simulation_145	2.21	0.071	0.219	0.019	2.368	0.729	145	0.05	12000	1000	1	500	111	1	0	1	162	162	0	1	0.25713369669766	68
Simulation_146	2.713	0.048	0.156	0.128	2.995	0.503	146	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_147	1.707	0.093	0.281	0.055	1.74	0.956	147	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.124719461365822	4
Simulation_148	1.959	0.037	0.125	0.11	2.681	0.843	148	0.05	12000	1000	1	500	111	1	0	1	744	747	3	1	0.682590573901892	258
Simulation_149	2.965	0.082	0.25	0.037	1.426	0.39	149	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.117345302981725	4
Simulation_150	2.462	0.014	0.061	0.146	0.799	0.616	150	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1
Simulation_151	1.456	0.06	0.189	0.074	2.054	0.164	151	0.05	12000	1000	1	500	111	1	0	1	134	134	0	1	0.193972427059955	104
Simulation_152	1.33	0.054	0.172	0.028	2.211	0.107	152	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_153	2.336	0.099	0.297	0.101	0.956	0.56	153	0.05	12000	1000	1	500	111	1	0	1	6	6	0	1	0.910868868226996	6
Simulation_154	2.839	0.031	0.108	0.064	1.583	0.333	154	0.05	12000	1000	1	500	111	1	0	1	14	14	0	0	-1	-1
Simulation_155	1.833	0.076	0.233	0.137	2.838	0.786	155	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.0904135941006733	2
Simulation_156	1.582	0.02	0.078	0.01	1.27	0.899	156	0.05	12000	1000	1	500	111	1	0	1	167	173	6	1	0.603077909586406	149
Simulation_157	2.587	0.065	0.203	0.083	2.525	0.447	157	0.05	12000	1000	1	500	111	1	0	1	30	30	0	1	0.20166720102597	20
Simulation_158	2.084	0.043	0.142	0.046	1.897	0.673	158	0.05	12000	1000	1	500	111	0	25	1	2443	2444	1	1	0.981724911830715	368
Simulation_159	1.079	0.088	0.267	0.119	0.642	0.22	159	0.05	12000	1000	1	500	111	0	107	1	1337	1339	2	1	1	648
Simulation_160	1.11	0.016	0.067	0.062	2.407	0.828	160	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_161	2.116	0.061	0.192	0.135	1.152	0.376	161	0.05	12000	1000	1	500	111	1	0	1	230	230	0	1	0.350432831035588	115
Simulation_162	2.619	0.038	0.128	0.026	0.525	0.602	162	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_163	1.613	0.084	0.256	0.099	1.779	0.15	163	0.05	12000	1000	1	500	111	0	59	1	1160	1160	0	1	0.151971785828791	407
Simulation_164	1.864	0.05	0.161	0.044	0.838	0.263	164	0.05	12000	1000	1	500	111	1	0	1	1872	1873	1	1	0.999679384418083	677
Simulation_165	2.87	0.095	0.286	0.117	2.093	0.715	165	0.05	12000	1000	1	500	111	1	0	1	89	89	0	1	0.139788393715935	52
Simulation_166	2.367	0.027	0.097	0.008	2.721	0.489	166	0.05	12000	1000	1	500	111	1	0	1	8	8	0	0	-1	-1
Simulation_167	1.361	0.072	0.222	0.08	1.466	0.942	167	0.05	12000	1000	1	500	111	1	0	1	44	44	0	1	0.249759538313562	26
Simulation_168	1.487	0.033	0.114	0.126	1.309	0.998	168	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_169	2.493	0.078	0.239	0.053	2.564	0.546	169	0.05	12000	1000	1	500	111	1	0	1	392	392	0	1	0.26066046809875	196
Simulation_170	2.996	0.01	0.05	0.089	1.936	0.772	170	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_171	1.99	0.055	0.175	0.017	0.681	0.319	171	0.05	12000	1000	1	500	111	1	0	1	113	113	0	1	0.975953831356204	56
Simulation_172	1.739	0.021	0.081	0.144	2.25	0.206	172	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_173	2.745	0.067	0.208	0.071	0.995	0.659	173	0.05	12000	1000	1	500	111	1	0	1	12	12	0	1	0.455915357486374	7
Simulation_174	2.242	0.044	0.144	0.108	1.623	0.432	174	0.05	12000	1000	1	500	111	1	0	1	201	201	0	1	0.570375120230843	85
Simulation_175	1.236	0.089	0.269	0.035	2.877	0.885	175	0.05	12000	1000	1	500	111	0	168	1	1193	1194	1	1	0.152292401410709	492
Simulation_176	1.173	0.047	0.153	0.012	1.858	0.63	176	0.05	12000	1000	1	500	111	0	27	1	2200	2202	2	1	0.999679384418083	1566
Simulation_177	2.179	0.092	0.278	0.085	0.603	0.178	177	0.05	12000	1000	1	500	111	1	0	1	104	104	0	1	1	80
Simulation_178	2.682	0.024	0.089	0.048	1.23	0.857	178	0.05	12000	1000	1	500	111	1	0	1	28	28	0	1	0.609810836806669	28
Simulation_179	1.676	0.069	0.214	0.121	2.485	0.404	179	0.05	12000	1000	1	500	111	1	0	1	30	30	0	1	0.200384738698301	15
Simulation_180	1.927	0.013	0.058	0.03	1.544	0.517	180	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_181	2.933	0.058	0.183	0.103	2.799	0.97	181	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.244950304584803	4
Simulation_182	2.43	0.035	0.119	0.067	2.172	0.291	182	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_183	1.424	0.081	0.247	0.139	0.917	0.744	183	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_184	1.299	0.03	0.106	0.112	0.76	0.687	184	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.127284386021161	2
Simulation_185	2.305	0.075	0.231	0.039	2.015	0.234	185	0.05	12000	1000	1	500	111	1	0	1	506	506	0	1	0.197819814042962	184
Simulation_186	2.807	0.052	0.167	0.149	2.642	0.913	186	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.151651170246874	2
Simulation_187	1.802	0.098	0.294	0.076	1.387	0.461	187	0.05	12000	1000	1	500	111	1	0	1	857	857	0	1	0.347547290798333	459
Simulation_188	1.55	0.041	0.136	0.094	2.956	0.348	188	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_189	2.556	0.086	0.261	0.021	1.701	0.8	189	0.05	12000	1000	1	500	111	1	0	1	71	71	0	1	0.135941006732927	46
Simulation_190	2.053	0.018	0.072	0.13	1.074	0.121	190	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
