Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events
Simulation_230	2.32	0.04	0.133	0.12	2.583	0.722	230	12000	1000	1	500	111	0	4736	1	4385	4429	44
Simulation_231	1.314	0.086	0.261	0.047	1.328	0.27	231	12000	1000	1	500	111	0	4691	1	1901	1902	1
Simulation_232	1.44	0.023	0.086	0.02	1.485	0.213	232	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_233	2.446	0.069	0.214	0.093	2.74	0.666	233	12000	1000	1	500	111	0	4647	1	4087	4156	69
Simulation_234	2.949	0.046	0.15	0.056	2.113	0.439	234	12000	1000	1	500	111	0	4601	1	4490	4511	21
Simulation_235	1.943	0.091	0.275	0.129	0.858	0.892	235	12000	1000	1	500	111	1	0	1	20	20	0
Simulation_236	1.692	0.035	0.119	0.038	1.799	0.779	236	12000	1000	1	500	111	0	4582	1	3622	3843	221
Simulation_237	2.697	0.08	0.244	0.111	0.544	0.326	237	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_238	2.194	0.012	0.056	0.075	1.172	0.553	238	12000	1000	1	500	111	0	4671	1	3281	3635	354
Simulation_239	1.189	0.057	0.181	0.147	2.426	0.1	239	12000	1000	1	500	111	1	0	1	5	5	0
Simulation_240	1.126	0.015	0.064	0.116	2.348	0.355	240	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_241	2.132	0.06	0.189	0.043	1.093	0.807	241	12000	1000	1	500	111	0	3127	1	1158	1160	2
Simulation_242	2.635	0.038	0.128	0.079	1.721	0.128	242	12000	1000	1	500	111	0	2104	1	1084	1189	105
Simulation_243	1.629	0.083	0.253	0.006	2.975	0.581	243	12000	1000	1	500	111	0	4750	1	3431	3458	27
Simulation_244	1.88	0.049	0.158	0.134	1.407	0.694	244	12000	1000	1	500	111	0	4683	1	4133	4172	39
Simulation_245	2.886	0.094	0.283	0.061	2.662	0.241	245	12000	1000	1	500	111	0	4571	1	1229	1229	0
Simulation_246	2.383	0.026	0.094	0.097	2.034	0.92	246	12000	1000	1	500	111	0	4645	1	3374	3447	73
Simulation_247	1.377	0.072	0.222	0.025	0.779	0.468	247	12000	1000	1	500	111	0	4352	1	1737	1765	28
Simulation_248	1.251	0.043	0.142	0.07	0.936	0.524	248	12000	1000	1	500	111	0	4684	1	3337	3449	112
Simulation_249	2.257	0.089	0.269	0.143	2.191	0.977	249	12000	1000	1	500	111	0	4096	1	1638	1639	1
Simulation_250	2.76	0.021	0.081	0.034	2.819	0.298	250	12000	1000	1	500	111	0	3543	1	1344	1381	37
Simulation_251	1.754	0.066	0.206	0.106	1.564	0.751	251	12000	1000	1	500	111	0	4533	1	2800	2801	1
Simulation_252	1.503	0.032	0.111	0.052	2.505	0.638	252	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_253	2.509	0.077	0.236	0.125	1.25	0.185	253	12000	1000	1	500	111	0	4290	1	1916	1959	43
Simulation_254	2.006	0.055	0.175	0.016	0.623	0.864	254	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_255	1	0.1	0.3	0.088	1.877	0.411	255	12000	1000	1	500	111	0	4823	1	7838	7888	50
Simulation_256	1.004	0.055	0.175	0.046	2.588	0.979	256	12000	1000	1	500	111	0	4496	1	2903	2934	31
Simulation_257	2.01	0.1	0.3	0.119	1.333	0.526	257	12000	1000	1	500	111	0	4629	1	2897	2897	0
Simulation_258	2.513	0.032	0.111	0.01	0.706	0.752	258	12000	1000	1	500	111	1	0	1	3	3	0
Simulation_259	1.507	0.077	0.236	0.082	1.961	0.3	259	12000	1000	1	500	111	0	1401	1	4330	4332	2
Simulation_260	1.758	0.021	0.081	0.064	1.02	0.187	260	12000	1000	1	500	111	0	4736	1	4668	4716	48
Simulation_261	2.764	0.066	0.206	0.137	2.275	0.639	261	12000	1000	1	500	111	0	4649	1	3684	3724	40
Simulation_262	2.261	0.043	0.142	0.028	2.902	0.413	262	12000	1000	1	500	111	0	4709	1	1379	1379	0
Simulation_263	1.255	0.089	0.269	0.101	1.647	0.866	263	12000	1000	1	500	111	0	4508	1	1780	1780	0
Simulation_264	1.381	0.026	0.094	0.146	1.176	0.809	264	12000	1000	1	500	111	0	4733	1	2892	2959	67
Simulation_265	2.387	0.072	0.222	0.073	2.431	0.356	265	12000	1000	1	500	111	0	2285	1	1788	1814	26
Simulation_266	2.89	0.049	0.158	0.11	1.804	0.583	266	12000	1000	1	500	111	0	4671	1	3878	3920	42
Simulation_267	1.884	0.094	0.283	0.037	0.549	0.13	267	12000	1000	1	500	111	0	4682	1	1913	1973	60
Simulation_268	1.633	0.038	0.128	0.128	2.118	0.243	268	12000	1000	1	500	111	0	4113	1	1439	1460	21
Simulation_269	2.639	0.083	0.253	0.055	0.863	0.696	269	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_270	2.136	0.015	0.064	0.091	1.49	0.47	270	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_271	1.13	0.06	0.189	0.019	2.745	0.922	271	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_272	1.193	0.012	0.056	0.023	2.039	0.668	272	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_273	2.198	0.058	0.183	0.096	0.784	0.215	273	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_274	2.701	0.035	0.119	0.06	1.412	0.894	274	12000	1000	1	500	111	0	3200	1	2200	2222	22
Simulation_275	1.695	0.08	0.244	0.132	2.667	0.441	275	12000	1000	1	500	111	0	4240	1	2143	2162	19
Simulation_276	1.947	0.046	0.15	0.005	1.725	0.328	276	12000	1000	1	500	111	0	4666	1	2017	2018	1
Simulation_277	2.953	0.092	0.278	0.078	2.98	0.781	277	12000	1000	1	500	111	0	4542	1	2424	2425	1
Simulation_278	2.45	0.024	0.089	0.041	2.353	0.102	278	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_279	1.444	0.069	0.214	0.114	1.098	0.554	279	12000	1000	1	500	111	0	4570	1	3784	3788	4
Simulation_280	1.318	0.041	0.136	0.087	0.627	0.611	280	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_281	2.324	0.086	0.261	0.014	1.882	0.158	281	12000	1000	1	500	111	0	1148	1	1003	1007	4
Simulation_282	2.827	0.018	0.072	0.123	2.51	0.837	282	12000	1000	1	500	111	0	4617	1	5688	5853	165
Simulation_283	1.821	0.063	0.197	0.05	1.255	0.385	283	12000	1000	1	500	111	0	4656	1	4403	4612	209
Simulation_284	1.57	0.029	0.103	0.105	2.824	0.498	284	12000	1000	1	500	111	0	4641	1	2783	2794	11
Simulation_285	2.576	0.075	0.231	0.032	1.569	0.95	285	12000	1000	1	500	111	0	3602	1	1300	1306	6
Simulation_286	2.073	0.052	0.167	0.141	0.941	0.272	286	12000	1000	1	500	111	0	4715	1	6633	6818	185
Simulation_287	1.067	0.097	0.292	0.069	2.196	0.724	287	12000	1000	1	500	111	0	4703	1	4326	4403	77
Simulation_288	1.098	0.031	0.108	0.13	1.451	0.427	288	12000	1000	1	500	111	0	4785	1	6468	7637	1169
Simulation_289	2.104	0.076	0.233	0.057	2.706	0.88	289	12000	1000	1	500	111	0	4460	1	2228	2235	7
Simulation_290	2.607	0.053	0.169	0.094	2.078	0.201	290	12000	1000	1	500	111	1	0	1	161	224	63
Simulation_291	1.601	0.099	0.297	0.021	0.824	0.653	291	12000	1000	1	500	111	0	2725	1	1065	1066	1
Simulation_292	1.853	0.042	0.139	0.148	1.765	0.767	292	12000	1000	1	500	111	0	4676	1	3471	3516	45
Simulation_293	2.859	0.087	0.264	0.076	0.51	0.314	293	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_294	2.356	0.019	0.075	0.112	1.137	0.993	294	12000	1000	1	500	111	0	4430	1	3883	4044	161
Simulation_295	1.35	0.065	0.203	0.039	2.392	0.54	295	12000	1000	1	500	111	0	4719	1	9405	9513	108
Simulation_296	1.475	0.048	0.156	0.066	2.863	0.484	296	12000	1000	1	500	111	0	4720	1	1403	1405	2
Simulation_297	2.481	0.093	0.281	0.139	1.608	0.936	297	12000	1000	1	500	111	0	3948	1	1374	1374	0
Simulation_298	2.984	0.025	0.092	0.03	0.98	0.257	298	12000	1000	1	500	111	0	4711	1	3213	3286	73
Simulation_299	1.978	0.07	0.217	0.103	2.235	0.71	299	12000	1000	1	500	111	0	4669	1	3463	3487	24
Simulation_300	1.727	0.014	0.061	0.048	0.667	0.597	300	12000	1000	1	500	111	0	4543	1	2926	3023	97
Simulation_301	2.733	0.059	0.186	0.121	1.922	0.144	301	12000	1000	1	500	111	0	1886	1	1180	1185	5
Simulation_302	2.23	0.036	0.122	0.012	2.549	0.823	302	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_303	1.224	0.082	0.25	0.085	1.294	0.371	303	12000	1000	1	500	111	0	4768	1	4114	4205	91
Simulation_304	1.161	0.034	0.117	0.107	0.902	0.116	304	12000	1000	1	500	111	0	4716	1	4045	4060	15
Simulation_305	2.167	0.079	0.242	0.035	2.157	0.569	305	12000	1000	1	500	111	0	4650	1	3887	4338	451
Simulation_306	2.67	0.011	0.053	0.144	2.784	0.342	306	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_307	1.664	0.056	0.178	0.071	1.529	0.795	307	12000	1000	1	500	111	0	4456	1	2311	2324	13
Simulation_308	1.916	0.022	0.083	0.089	2.471	0.908	308	12000	1000	1	500	111	0	4667	1	3358	3450	92
Simulation_309	2.921	0.067	0.208	0.016	1.216	0.455	309	12000	1000	1	500	111	0	4553	1	2254	2354	100
Simulation_310	2.418	0.045	0.147	0.126	0.588	0.682	310	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_311	1.413	0.09	0.272	0.053	1.843	0.229	311	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_312	1.287	0.017	0.069	0.007	2.314	0.286	312	12000	1000	1	500	111	0	4678	1	3096	3134	38
Simulation_313	2.293	0.062	0.194	0.08	1.059	0.738	313	12000	1000	1	500	111	0	3513	1	1343	1345	2
Simulation_314	2.796	0.039	0.131	0.044	1.686	0.512	314	12000	1000	1	500	111	0	4673	1	3682	3964	282
Simulation_315	1.79	0.084	0.256	0.116	2.941	0.965	315	12000	1000	1	500	111	0	4715	1	1336	1337	1
Simulation_316	1.538	0.05	0.161	0.025	1.373	0.851	316	12000	1000	1	500	111	0	4103	1	2120	2156	36
Simulation_317	2.544	0.096	0.289	0.098	2.627	0.399	317	12000	1000	1	500	111	1	0	1	5	5	0
Simulation_318	2.041	0.028	0.1	0.062	2	0.625	318	12000	1000	1	500	111	0	4690	1	3235	3287	52
Simulation_319	1.035	0.073	0.225	0.135	0.745	0.172	319	12000	1000	1	500	111	0	4800	1	5216	5248	32
Simulation_320	1.051	0.019	0.075	0.081	2.725	0.236	320	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_321	2.057	0.064	0.2	0.008	1.471	0.689	321	12000	1000	1	500	111	0	3895	1	2003	2087	84
Simulation_322	2.56	0.041	0.136	0.118	0.843	0.462	322	12000	1000	1	500	111	0	4549	1	3771	3779	8
Simulation_323	1.554	0.087	0.264	0.045	2.098	0.915	323	12000	1000	1	500	111	0	4703	1	1495	1496	1
Simulation_324	1.806	0.053	0.169	0.099	0.529	0.802	324	12000	1000	1	500	111	0	2214	1	1061	1064	3
Simulation_325	2.811	0.098	0.294	0.027	1.784	0.349	325	12000	1000	1	500	111	0	4620	1	4106	4122	16
Simulation_326	2.308	0.03	0.106	0.136	2.412	0.576	326	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_327	1.303	0.075	0.231	0.063	1.157	0.123	327	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_328	1.428	0.036	0.122	0.036	1.627	0.18	328	12000	1000	1	500	111	0	4775	1	1544	1544	0
Simulation_329	2.434	0.081	0.247	0.108	2.882	0.632	329	12000	1000	1	500	111	0	4594	1	4083	4090	7
Simulation_330	2.937	0.013	0.058	0.072	2.255	0.406	330	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_331	1.931	0.058	0.183	0.145	1	0.859	331	12000	1000	1	500	111	0	2184	1	1537	1580	43
Simulation_332	1.68	0.024	0.089	0.018	1.941	0.972	332	12000	1000	1	500	111	1	0	1	0	7	7
Simulation_333	2.686	0.07	0.217	0.09	0.686	0.519	333	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_334	2.183	0.047	0.153	0.054	1.314	0.745	334	12000	1000	1	500	111	0	4555	1	1971	1974	3
Simulation_335	1.177	0.092	0.278	0.127	2.569	0.293	335	12000	1000	1	500	111	0	3610	1	1022	1023	1
Simulation_336	1.24	0.044	0.144	0.14	2.176	0.547	336	12000	1000	1	500	111	0	4829	1	6889	6993	104
Simulation_337	2.246	0.089	0.269	0.068	0.922	1	337	12000	1000	1	500	111	1	0	1	2	2	0
Simulation_338	2.749	0.021	0.081	0.104	1.549	0.321	338	12000	1000	1	500	111	0	4442	1	5569	5900	331
Simulation_339	1.743	0.067	0.208	0.031	2.804	0.774	339	12000	1000	1	500	111	0	4616	1	2624	2702	78
Simulation_340	1.994	0.01	0.05	0.122	1.235	0.661	340	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_341	3	0.055	0.175	0.049	2.49	0.208	341	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_342	2.497	0.033	0.114	0.086	1.863	0.887	342	12000	1000	1	500	111	0	4517	1	3858	3912	54
Simulation_343	1.491	0.078	0.239	0.013	0.608	0.434	343	12000	1000	1	500	111	0	1734	1	1119	1119	0
Simulation_344	1.365	0.027	0.097	0.058	1.078	0.378	344	12000	1000	1	500	111	0	4732	1	3140	3169	29
Simulation_345	2.371	0.072	0.222	0.131	2.333	0.83	345	12000	1000	1	500	111	0	4583	1	3154	3159	5
Simulation_346	2.874	0.05	0.161	0.022	2.961	0.151	346	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_347	1.868	0.095	0.286	0.095	1.706	0.604	347	12000	1000	1	500	111	0	4649	1	2779	2790	11
Simulation_348	1.617	0.038	0.128	0.077	2.647	0.717	348	12000	1000	1	500	111	0	4784	1	3141	3183	42
Simulation_349	2.623	0.084	0.256	0.149	1.392	0.264	349	12000	1000	1	500	111	0	4553	1	5658	5704	46
Simulation_350	2.12	0.016	0.067	0.04	0.765	0.943	350	12000	1000	1	500	111	0	4431	1	1542	1584	42
Simulation_351	1.114	0.061	0.192	0.113	2.02	0.491	351	12000	1000	1	500	111	0	4835	1	4484	4488	4
Simulation_352	1.083	0.043	0.142	0.015	1.353	0.561	352	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_353	2.088	0.088	0.267	0.088	2.608	0.109	353	12000	1000	1	500	111	0	4517	1	1409	1409	0
Simulation_354	2.591	0.02	0.078	0.052	1.98	0.788	354	12000	1000	1	500	111	0	4645	1	4059	4136	77
Simulation_355	1.585	0.065	0.203	0.124	0.725	0.335	355	12000	1000	1	500	111	0	4679	1	2846	2864	18
Simulation_356	1.837	0.031	0.108	0.033	2.294	0.448	356	12000	1000	1	500	111	0	4490	1	3805	3821	16
Simulation_357	2.843	0.077	0.236	0.106	1.039	0.901	357	12000	1000	1	500	111	0	4249	1	1101	1109	8
Simulation_358	2.34	0.054	0.172	0.07	1.667	0.222	358	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_359	1.334	0.099	0.297	0.143	2.922	0.675	359	12000	1000	1	500	111	0	4754	1	5397	5419	22
Simulation_360	1.46	0.014	0.061	0.097	2.451	0.731	360	12000	1000	1	500	111	0	4758	1	3532	3906	374
Simulation_361	2.466	0.06	0.189	0.024	1.196	0.279	361	12000	1000	1	500	111	0	4650	1	4184	4271	87
Simulation_362	2.969	0.037	0.125	0.134	0.569	0.958	362	12000	1000	1	500	111	1	0	1	40	40	0
Simulation_363	1.963	0.082	0.25	0.061	1.824	0.505	363	12000	1000	1	500	111	0	4604	1	4260	4306	46
Simulation_364	1.711	0.048	0.156	0.079	0.882	0.392	364	12000	1000	1	500	111	0	4650	1	3638	3690	52
Simulation_365	2.717	0.094	0.283	0.006	2.137	0.844	365	12000	1000	1	500	111	0	4109	1	1671	1694	23
Simulation_366	2.214	0.026	0.094	0.115	2.765	0.165	366	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_367	1.208	0.071	0.219	0.043	1.51	0.618	367	12000	1000	1	500	111	0	4719	1	3678	3745	67
Simulation_368	1.145	0.023	0.086	0.074	0.804	0.873	368	12000	1000	1	500	111	0	4402	1	1309	1320	11
Simulation_369	2.151	0.068	0.211	0.147	2.059	0.42	369	12000	1000	1	500	111	0	4697	1	3451	3467	16
Simulation_370	2.654	0.046	0.15	0.038	2.686	0.646	370	12000	1000	1	500	111	0	4680	1	3074	3164	90
Simulation_371	1.648	0.091	0.275	0.111	1.431	0.194	371	12000	1000	1	500	111	0	2606	1	2559	2657	98
Simulation_372	1.9	0.034	0.117	0.056	3	0.307	372	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_373	2.906	0.079	0.242	0.129	1.745	0.76	373	12000	1000	1	500	111	0	4454	1	2379	2380	1
Simulation_374	2.403	0.012	0.056	0.02	1.118	0.533	374	12000	1000	1	500	111	0	4482	1	3822	4231	409
Simulation_375	1.397	0.057	0.181	0.093	2.373	0.986	375	12000	1000	1	500	111	0	4340	1	3191	3211	20
Simulation_376	1.271	0.051	0.164	0.12	1.902	0.929	376	12000	1000	1	500	111	0	4578	1	4212	4218	6
Simulation_377	2.277	0.096	0.289	0.047	0.647	0.477	377	12000	1000	1	500	111	1	0	1	3	3	0
Simulation_378	2.78	0.029	0.103	0.083	1.275	0.703	378	12000	1000	1	500	111	0	4625	1	3253	3302	49
Simulation_379	1.774	0.074	0.228	0.011	2.529	0.25	379	12000	1000	1	500	111	0	4377	1	2294	2296	2
Simulation_380	1.523	0.017	0.069	0.138	1.588	0.137	380	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_381	2.528	0.063	0.197	0.065	2.843	0.59	381	12000	1000	1	500	111	0	4625	1	8433	8556	123
Simulation_382	2.026	0.04	0.133	0.102	2.216	0.363	382	12000	1000	1	500	111	0	3921	1	1646	1836	190
Simulation_383	1.02	0.085	0.258	0.029	0.961	0.816	383	12000	1000	1	500	111	0	4145	1	1682	1683	1
Simulation_384	1.012	0.025	0.092	0.11	2.088	0.615	384	12000	1000	1	500	111	0	4833	1	10938	11066	128
Simulation_385	2.018	0.07	0.217	0.037	0.833	0.162	385	12000	1000	1	500	111	0	4741	1	3328	3421	93
Simulation_386	2.521	0.047	0.153	0.147	1.461	0.841	386	12000	1000	1	500	111	0	4137	1	3725	3750	25
Simulation_387	1.515	0.093	0.281	0.074	2.716	0.388	387	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_388	1.766	0.036	0.122	0.092	1.147	0.501	388	12000	1000	1	500	111	0	4742	1	4646	4723	77
Simulation_389	2.772	0.081	0.247	0.019	2.402	0.954	389	12000	1000	1	500	111	0	3940	1	1207	1213	6
Simulation_390	2.269	0.013	0.058	0.128	1.775	0.275	390	12000	1000	1	500	111	0	4684	1	1641	1688	47
Simulation_391	1.263	0.059	0.186	0.056	0.52	0.728	391	12000	1000	1	500	111	0	3365	1	1049	1049	0
Simulation_392	1.389	0.053	0.169	0.01	0.99	0.671	392	12000	1000	1	500	111	0	4469	1	1832	1862	30
Simulation_393	2.395	0.098	0.294	0.083	2.245	0.218	393	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_394	2.898	0.03	0.106	0.047	2.873	0.897	394	12000	1000	1	500	111	0	4579	1	3666	3754	88
Simulation_395	1.892	0.076	0.233	0.119	1.618	0.445	395	12000	1000	1	500	111	0	4739	1	4190	4240	50
Simulation_396	1.64	0.019	0.075	0.028	2.559	0.332	396	12000	1000	1	500	111	0	4571	1	1004	1007	3
Simulation_397	2.646	0.064	0.2	0.101	1.304	0.784	397	12000	1000	1	500	111	0	3947	1	1852	1854	2
Simulation_398	2.143	0.042	0.139	0.065	0.676	0.105	398	12000	1000	1	500	111	0	4765	1	2874	2888	14
Simulation_399	1.138	0.087	0.264	0.137	1.931	0.558	399	12000	1000	1	500	111	0	4732	1	3707	3714	7
Simulation_400	1.2	0.039	0.131	0.124	2.794	0.813	400	12000	1000	1	500	111	0	4789	1	7646	7897	251
Simulation_401	2.206	0.084	0.256	0.051	1.539	0.36	401	12000	1000	1	500	111	0	4680	1	2867	2892	25
Simulation_402	2.709	0.016	0.067	0.087	0.912	0.586	402	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_403	1.703	0.061	0.192	0.015	2.167	0.134	403	12000	1000	1	500	111	0	4267	1	1805	1805	0
Simulation_404	1.955	0.028	0.1	0.142	0.598	0.247	404	12000	1000	1	500	111	0	4651	1	3730	3874	144
Simulation_405	2.961	0.073	0.225	0.069	1.853	0.699	405	12000	1000	1	500	111	0	4518	1	2498	2503	5
Simulation_406	2.458	0.05	0.161	0.106	2.48	0.473	406	12000	1000	1	500	111	0	4445	1	3621	3627	6
Simulation_407	1.452	0.095	0.286	0.033	1.225	0.926	407	12000	1000	1	500	111	0	4623	1	1118	1118	0
Simulation_408	1.326	0.011	0.053	0.06	1.696	0.982	408	12000	1000	1	500	111	0	4602	1	3225	3482	257
Simulation_409	2.332	0.056	0.178	0.133	2.951	0.53	409	12000	1000	1	500	111	0	4635	1	4648	4680	32
Simulation_410	2.835	0.033	0.114	0.024	2.324	0.756	410	12000	1000	1	500	111	0	4561	1	3845	3981	136
Simulation_411	1.829	0.078	0.239	0.097	1.069	0.303	411	12000	1000	1	500	111	0	4636	1	6585	6617	32
Simulation_412	1.578	0.044	0.144	0.042	2.01	0.19	412	12000	1000	1	500	111	1	0	1	2	2	0
Simulation_413	2.583	0.09	0.272	0.115	0.755	0.643	413	12000	1000	1	500	111	1	0	1	3	3	0
Simulation_414	2.081	0.022	0.083	0.006	1.382	0.417	414	12000	1000	1	500	111	0	4755	1	3652	3780	128
Simulation_415	1.075	0.067	0.208	0.078	2.637	0.869	415	12000	1000	1	500	111	0	4693	1	4346	4439	93
Simulation_416	1.106	0.049	0.158	0.031	0.716	0.289	416	12000	1000	1	500	111	0	4731	1	3191	3388	197
Simulation_417	2.112	0.094	0.283	0.103	1.971	0.742	417	12000	1000	1	500	111	0	4555	1	2343	2343	0
Simulation_418	2.615	0.026	0.094	0.067	2.598	0.516	418	12000	1000	1	500	111	0	4434	1	3680	3704	24
Simulation_419	1.609	0.071	0.219	0.14	1.343	0.968	419	12000	1000	1	500	111	0	4517	1	1114	1120	6
Simulation_420	1.861	0.015	0.064	0.012	2.912	0.855	420	12000	1000	1	500	111	0	4571	1	3275	3293	18
Simulation_421	2.866	0.06	0.189	0.085	1.657	0.402	421	12000	1000	1	500	111	0	4608	1	4299	4314	15
Simulation_422	2.363	0.037	0.125	0.049	1.029	0.629	422	12000	1000	1	500	111	0	4462	1	4531	4754	223
Simulation_423	1.358	0.083	0.253	0.122	2.284	0.176	423	12000	1000	1	500	111	0	4634	1	1547	1553	6
Simulation_424	1.483	0.032	0.111	0.094	1.814	0.119	424	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_425	2.489	0.077	0.236	0.021	0.559	0.572	425	12000	1000	1	500	111	1	0	1	50	50	0
Simulation_426	2.992	0.054	0.172	0.131	1.186	0.346	426	12000	1000	1	500	111	0	4667	1	3337	3393	56
Simulation_427	1.986	0.1	0.3	0.058	2.441	0.798	427	12000	1000	1	500	111	0	4563	1	2279	2286	7
Simulation_428	1.735	0.043	0.142	0.112	1.5	0.912	428	12000	1000	1	500	111	0	4361	1	3995	4036	41
Simulation_429	2.741	0.088	0.267	0.04	2.755	0.459	429	12000	1000	1	500	111	0	4195	1	4420	4420	0
Simulation_430	2.238	0.02	0.078	0.149	2.127	0.685	430	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_431	1.232	0.066	0.206	0.076	0.873	0.233	431	12000	1000	1	500	111	0	4787	1	4187	4235	48
Simulation_432	1.169	0.018	0.072	0.044	1.422	0.487	432	12000	1000	1	500	111	0	4843	1	4698	4733	35
Simulation_433	2.175	0.063	0.197	0.117	2.676	0.94	433	12000	1000	1	500	111	0	4479	1	2394	2403	9
Simulation_434	2.678	0.04	0.133	0.008	2.049	0.261	434	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_435	1.672	0.086	0.261	0.081	0.794	0.714	435	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_436	1.923	0.052	0.167	0.062	2.363	0.6	436	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_437	2.929	0.097	0.292	0.135	1.108	0.148	437	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_438	2.426	0.029	0.103	0.026	1.735	0.827	438	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_439	1.42	0.074	0.228	0.099	2.99	0.374	439	12000	1000	1	500	111	0	0	0	0	0	0
Simulation_440	1.295	0.035	0.119	0.144	2.52	0.431	440	12000	1000	1	500	111	0	4380	1	1435	1476	41
Simulation_441	2.301	0.08	0.244	0.072	1.265	0.883	441	12000	1000	1	500	111	0	3438	1	1094	1095	1
Simulation_442	2.804	0.012	0.056	0.108	0.637	0.204	442	12000	1000	1	500	111	0	4485	1	1871	2025	154
Simulation_443	1.798	0.057	0.181	0.035	1.892	0.657	443	12000	1000	1	500	111	0	4640	1	3610	3862	252
Simulation_444	1.546	0.023	0.086	0.126	0.951	0.77	444	12000	1000	1	500	111	0	4521	1	3533	3644	111
Simulation_445	2.552	0.069	0.214	0.053	2.206	0.317	445	12000	1000	1	500	111	1	0	1	5	5	0
Simulation_446	2.049	0.046	0.15	0.09	2.833	0.996	446	12000	1000	1	500	111	0	4264	1	4090	4106	16
Simulation_447	1.043	0.091	0.275	0.017	1.578	0.544	447	12000	1000	1	500	111	0	4770	1	3526	3732	206
Simulation_448	1.028	0.037	0.125	0.073	1.951	0.367	448	12000	1000	1	500	111	0	3899	1	8851	9854	1003
Simulation_449	2.033	0.082	0.25	0.145	0.696	0.82	449	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_450	2.536	0.014	0.061	0.036	1.324	0.141	450	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_451	1.53	0.059	0.186	0.109	2.578	0.593	451	12000	1000	1	500	111	0	4723	1	4153	4170	17
Simulation_452	1.782	0.025	0.092	0.054	1.637	0.706	452	12000	1000	1	500	111	0	4726	1	5166	5259	93
Simulation_453	2.788	0.071	0.219	0.127	2.892	0.254	453	12000	1000	1	500	111	0	4371	1	1656	1710	54
Simulation_454	2.285	0.048	0.156	0.018	2.265	0.933	454	12000	1000	1	500	111	0	3303	1	2998	3009	11
Simulation_455	1.279	0.093	0.281	0.091	1.01	0.48	455	12000	1000	1	500	111	0	4682	1	2584	2592	8
Simulation_456	1.405	0.02	0.078	0.118	0.539	0.537	456	12000	1000	1	500	111	0	4066	1	1083	1091	8
Simulation_457	2.411	0.065	0.203	0.045	1.794	0.989	457	12000	1000	1	500	111	0	3605	1	1507	1509	2
Simulation_458	2.914	0.042	0.139	0.082	2.422	0.31	458	12000	1000	1	500	111	0	4619	1	1400	1400	0
Simulation_459	1.908	0.088	0.267	0.009	1.167	0.763	459	12000	1000	1	500	111	0	4176	1	1232	1240	8
Simulation_460	1.656	0.054	0.172	0.136	2.735	0.65	460	12000	1000	1	500	111	0	4747	1	8873	9190	317
Simulation_461	2.662	0.099	0.297	0.064	1.48	0.197	461	12000	1000	1	500	111	0	616	1	4732	4732	0
Simulation_462	2.159	0.031	0.108	0.1	0.853	0.876	462	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_463	1.153	0.076	0.233	0.027	2.108	0.424	463	12000	1000	1	500	111	0	4799	1	4075	4078	3
