Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events
Simulation_47	1.212	0.073	0.225	0.116	1.789	0.733	47	12000	1000	1	500	111	0	4722	1	3790	3803	13
Simulation_48	1.149	0.031	0.108	0.148	2.966	0.988	48	12000	1000	1	500	111	0	4747	1	2250	2296	46
Simulation_49	2.155	0.076	0.233	0.075	1.711	0.535	49	12000	1000	1	500	111	0	4668	1	3508	3570	62
Simulation_50	2.658	0.053	0.169	0.112	1.083	0.761	50	12000	1000	1	500	111	0	3152	1	1396	1396	0
Simulation_51	1.652	0.099	0.297	0.039	2.338	0.309	51	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_52	1.904	0.042	0.139	0.13	0.77	0.195	52	12000	1000	1	500	111	0	4706	1	1981	1998	17
Simulation_53	2.91	0.087	0.264	0.057	2.025	0.648	53	12000	1000	1	500	111	0	4591	1	2187	2195	8
Simulation_54	2.407	0.02	0.078	0.093	2.652	0.422	54	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_55	1.401	0.065	0.203	0.021	1.397	0.874	55	12000	1000	1	500	111	0	4413	1	1373	1380	7
Simulation_56	1.275	0.048	0.156	0.048	1.554	0.818	56	12000	1000	1	500	111	0	4515	1	2869	2945	76
Simulation_57	2.281	0.093	0.281	0.121	2.809	0.365	57	12000	1000	1	500	111	1	0	1	1	1	0
Simulation_58	2.784	0.025	0.092	0.012	2.181	0.592	58	12000	1000	1	500	111	0	4710	1	3456	3601	145
Simulation_59	1.778	0.07	0.217	0.084	0.926	0.139	59	12000	1000	1	500	111	0	4674	1	5204	5309	105
Simulation_60	1.527	0.014	0.061	0.066	1.868	0.252	60	12000	1000	1	500	111	1	0	1	0	1	1
Simulation_61	2.532	0.059	0.186	0.139	0.613	0.705	61	12000	1000	1	500	111	1	0	1	16	16	0
Simulation_62	2.029	0.037	0.125	0.03	1.24	0.478	62	12000	1000	1	500	111	0	4689	1	2672	2766	94
Simulation_63	1.024	0.082	0.25	0.103	2.495	0.931	63	12000	1000	1	500	111	0	4624	1	2245	2246	1
Simulation_64	1.039	0.046	0.15	0.122	1.025	0.882	64	12000	1000	1	500	111	0	4729	1	1507	1540	33
