Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	72	89	17	0	-1	-1	-1	6118.689965276
Simulation_2	2.501	0.032	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	3	4	1	0	-1	-1	-1	5830.03784472243
Simulation_3	1.495	0.078	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	256	302	46	1	0.0101174934725849	31	242	5057.0741833263
Simulation_4	1.747	0.044	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	4	10	6	0	-1	-1	-1	3997.58075413004
Simulation_5	2.752	0.089	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	5	11	6	0	-1	-1	-1	4523.73624216299
Simulation_6	2.25	0.021	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	5619.36308835186
Simulation_7	1.244	0.066	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	1	0	1	68	159	91	0	-1	-1	-1	2652.0556188051
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	15	15	0	0	-1	-1	-1	6360.70265907413
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.0306788511749347	94	5	5609.32892957107
Simulation_10	2.878	0.015	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3940.40439883649
Simulation_11	1.872	0.061	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	14	79	65	0	-1	-1	-1	3644.24970929643
Simulation_12	1.621	0.027	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	161	425	264	1	0.000326370757180157	1	41	2511.08898552304
Simulation_13	2.627	0.072	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	12	12	0	0	-1	-1	-1	4902.5845058069
Simulation_14	2.124	0.049	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4849.41404838541
Simulation_15	1.118	0.095	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	1	0	1	758	1188	430	1	0.00424281984334204	13	7	3237.4012682486
Simulation_16	1.181	0.052	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	1	0	1	30	66	36	0	-1	-1	-1	4981.47564259033
Simulation_17	2.187	0.097	0.136	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	117	124	7	1	0.0218668407310705	67	108	1891.52756678689
Simulation_18	2.69	0.029	0.073	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	2316.49880431623
Simulation_19	1.684	0.075	0.199	0.1	0.574	0.634	19	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	0.0339425587467363	104	1	5910.41362109739
Simulation_20	1.935	0.018	0.167	0.046	2.142	0.747	20	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3946.08380923266
Simulation_21	2.941	0.063	0.293	0.118	0.887	0.294	21	0.05	12000	1000	1	500	111	1	0	1	8	25	17	0	-1	-1	-1	3170.4632927266
Simulation_22	2.438	0.041	0.23	0.009	1.515	0.973	22	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3611.43844405608
Simulation_23	1.432	0.086	0.104	0.082	2.77	0.521	23	0.05	12000	1000	1	500	111	1	0	1	15	16	1	0	-1	-1	-1	5444.95537074586
Simulation_24	1.306	0.024	0.183	0.128	2.613	0.464	24	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4631.14752150056
Simulation_25	2.312	0.069	0.057	0.055	1.358	0.917	25	0.05	12000	1000	1	500	111	1	0	1	11	11	0	0	-1	-1	-1	3203.64187024303
Simulation_26	2.815	0.046	0.12	0.091	0.73	0.238	26	0.05	12000	1000	1	500	111	1	0	1	139	140	1	0	-1	-1	-1	4611.49236051642
Simulation_27	1.809	0.092	0.246	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111	1	0	1	485	538	53	1	0.0156657963446475	48	250	5459.83768619658
Simulation_28	1.558	0.035	0.089	0.146	1.044	0.577	28	0.05	12000	1000	1	500	111	1	0	1	12	38	26	0	-1	-1	-1	2370.03483125039
Simulation_29	2.564	0.08	0.214	0.073	2.299	0.125	29	0.05	12000	1000	1	500	111	1	0	1	14	22	8	0	-1	-1	-1	2684.24091840409
Simulation_30	2.061	0.012	0.277	0.109	2.926	0.804	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3127.0635476807
Simulation_31	1.055	0.058	0.151	0.037	1.672	0.351	31	0.05	12000	1000	1	500	111	1	0	1	551	552	1	1	0.0248041775456919	76	5	5675.37050727154
Simulation_32	1.086	0.034	0.202	0.089	2.26	0.676	32	0.05	12000	1000	1	500	111	1	0	1	0	48	48	0	-1	-1	-1	2519.31857933997
Simulation_33	2.092	0.079	0.077	0.016	1.005	0.224	33	0.05	12000	1000	1	500	111	1	0	1	32	61	29	0	-1	-1	-1	3521.38168057011
Simulation_34	2.595	0.011	0.14	0.125	1.632	0.903	34	0.05	12000	1000	1	500	111	1	0	1	0	4	4	0	-1	-1	-1	2447.80613805538
Simulation_35	1.589	0.056	0.265	0.052	2.887	0.45	35	0.05	12000	1000	1	500	111	1	0	1	6	14	8	0	-1	-1	-1	5390.10406309521
Simulation_36	1.841	0.022	0.108	0.107	1.319	0.337	36	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7421.20068399673
Simulation_37	2.847	0.068	0.234	0.034	2.574	0.79	37	0.05	12000	1000	1	500	111	1	0	1	27	32	5	0	-1	-1	-1	6609.16691048737
Simulation_38	2.344	0.045	0.297	0.143	1.946	0.111	38	0.05	12000	1000	1	500	111	1	0	1	0	12	12	0	-1	-1	-1	3992.4362223011
Simulation_39	1.338	0.09	0.171	0.071	0.691	0.563	39	0.05	12000	1000	1	500	111	1	0	1	117	117	0	1	0.0995430809399478	305	100	6370.7298084159
Simulation_40	1.464	0.017	0.25	0.025	0.848	0.62	40	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3864.73728496117
Simulation_41	2.47	0.062	0.124	0.098	2.103	0.167	41	0.05	12000	1000	1	500	111	1	0	1	4	11	7	0	-1	-1	-1	5956.02657148383
Simulation_42	2.972	0.039	0.061	0.062	2.73	0.846	42	0.05	12000	1000	1	500	111	1	0	1	1	7	6	0	-1	-1	-1	2878.67472068732
Simulation_43	1.967	0.085	0.187	0.134	1.475	0.394	43	0.05	12000	1000	1	500	111	1	0	1	157	157	0	1	0.0221932114882507	68	14	4935.3328370527
Simulation_44	1.715	0.051	0.155	0.007	2.417	0.507	44	0.05	12000	1000	1	500	111	1	0	1	4	5	1	0	-1	-1	-1	1492.69695582889
Simulation_45	2.721	0.096	0.281	0.08	1.162	0.959	45	0.05	12000	1000	1	500	111	1	0	1	3	6	3	1	0.0127284595300261	39	3	3393.46384635632
Simulation_46	2.218	0.028	0.218	0.043	0.534	0.28	46	0.05	12000	1000	1	500	111	1	0	1	0	2	2	0	-1	-1	-1	1695.19428829814
Simulation_47	1.212	0.073	0.093	0.116	1.789	0.733	47	0.05	12000	1000	1	500	111	0	117	1	2110	2199	89	1	0.022703818369453	66	873	3475.62309777066
Simulation_48	1.149	0.031	0.116	0.148	2.966	0.988	48	0.05	12000	1000	1	500	111	1	0	1	644	661	17	0	-1	-1	-1	4954.62033648084
Simulation_49	2.155	0.076	0.242	0.075	1.711	0.535	49	0.05	12000	1000	1	500	111	1	0	1	80	84	4	0	-1	-1	-1	6947.23900611137
Simulation_50	2.658	0.053	0.179	0.112	1.083	0.761	50	0.05	12000	1000	1	500	111	1	0	1	65	71	6	1	0.00261096605744125	8	52	3678.08659917461
Simulation_51	1.652	0.099	0.053	0.039	2.338	0.309	51	0.05	12000	1000	1	500	111	1	0	1	1	2	1	0	-1	-1	-1	5109.29450829199
Simulation_52	1.904	0.042	0.273	0.13	0.77	0.195	52	0.05	12000	1000	1	500	111	1	0	1	0	25	25	0	-1	-1	-1	2297.11958793749
Simulation_53	2.91	0.087	0.148	0.057	2.025	0.648	53	0.05	12000	1000	1	500	111	1	0	1	23	24	1	1	0.0319843342036554	98	20	5063.29752383782
Simulation_54	2.407	0.02	0.085	0.093	2.652	0.422	54	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	1917.58449065311
Simulation_55	1.401	0.065	0.21	0.021	1.397	0.874	55	0.05	12000	1000	1	500	111	1	0	1	629	664	35	0	-1	-1	-1	4611.49236051642
Simulation_56	1.275	0.048	0.069	0.048	1.554	0.818	56	0.05	12000	1000	1	500	111	1	0	1	0	17	17	0	-1	-1	-1	5690.77080623951
