Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	149	150	1	0	-1	-1	5762.84642890909	3
Simulation_2	2.501	0.032	0.238	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	25	30	5	0	-1	-1	5569.65101009385	3
Simulation_3	1.495	0.078	0.112	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	149	153	4	1	0.143635780698942	60	5174.97165213021	1
Simulation_4	1.747	0.044	0.206	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	385	395	10	1	0.0734209682590574	215	2694.16105765157	1
Simulation_5	2.752	0.089	0.081	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	17	17	0	1	0.130169926258416	5	4853.5620456941	1
Simulation_6	2.25	0.021	0.144	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4856.78159020341	1
Simulation_7	1.244	0.066	0.269	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	1	0	1	3	3	0	0	-1	-1	6014.88820067733	3
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	22	24	2	0	-1	-1	6264.83135599015	2
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	4108.48427324893	1
Simulation_10	2.878	0.015	0.191	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	0	4	4	0	-1	-1	2365.99284164379	1
Simulation_11	1.872	0.061	0.065	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	112	112	0	1	0.0958640589932671	51	3448.03309010326	1
Simulation_12	1.621	0.027	0.285	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	3952.49746310609	1
Simulation_13	2.627	0.072	0.159	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	44	45	1	0	-1	-1	6156.71652086397	3
Simulation_14	2.124	0.049	0.097	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	21	21	0	1	0.0859249759538314	17	5917.71679949004	1
Simulation_15	1.118	0.095	0.222	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	1	0	1	35	35	0	1	0.152933632574543	12	3920.14160889679	1
Simulation_16	1.181	0.052	0.261	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4196.15154089103	1
Simulation_17	2.187	0.097	0.136	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	24	24	0	0	-1	-1	1465.62522679972	3
Simulation_18	2.69	0.029	0.073	0.027	1.828	0.181	18	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	9260.72136263067	4
Simulation_19	1.684	0.075	0.199	0.1	0.574	0.634	19	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	5347.94403193922	3
Simulation_20	1.935	0.018	0.167	0.046	2.142	0.747	20	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5393.7384871926	2
Simulation_21	2.941	0.063	0.293	0.118	0.887	0.294	21	0.05	12000	1000	1	500	111	1	0	1	21	22	1	1	0.0891311317730042	7	5807.32636013118	1
Simulation_22	2.438	0.041	0.23	0.009	1.515	0.973	22	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.071817890349471	10	1898.13484001955	1
Simulation_23	1.432	0.086	0.104	0.082	2.77	0.521	23	0.05	12000	1000	1	500	111	1	0	1	175	175	0	1	0.139467778134017	71	5020.09947321107	1
Simulation_24	1.306	0.024	0.183	0.128	2.613	0.464	24	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	2491.9132353626	1
Simulation_25	2.312	0.069	0.057	0.055	1.358	0.917	25	0.05	12000	1000	1	500	111	1	0	1	15	15	0	1	0.107406219942289	11	4166.6978315226	1
Simulation_26	2.815	0.046	0.12	0.091	0.73	0.238	26	0.05	12000	1000	1	500	111	1	0	1	70	70	0	0	-1	-1	5225.19066209215	2
Simulation_27	1.809	0.092	0.246	0.018	1.985	0.691	27	0.05	12000	1000	1	500	111	1	0	1	38	40	2	1	0.103238217377365	8	4248.77727308828	1
Simulation_28	1.558	0.035	0.089	0.146	1.044	0.577	28	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	2969.56103706809	1
Simulation_29	2.564	0.08	0.214	0.073	2.299	0.125	29	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	2434.68323554629	1
Simulation_30	2.061	0.012	0.277	0.109	2.926	0.804	30	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5852.09454971076	2
Simulation_31	1.055	0.058	0.151	0.037	1.672	0.351	31	0.05	12000	1000	1	500	111	0	85	1	4175	4175	0	0	-1	-1	7681.85005248198	2
Simulation_32	1.086	0.034	0.202	0.089	2.26	0.676	32	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	2166.52269361818	1
Simulation_33	2.092	0.079	0.077	0.016	1.005	0.224	33	0.05	12000	1000	1	500	111	1	0	1	141	141	0	1	0.126643154857326	87	3373.96630174083	1
Simulation_34	2.595	0.011	0.14	0.125	1.632	0.903	34	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	3937.2633314581	1
Simulation_35	1.589	0.056	0.265	0.052	2.887	0.45	35	0.05	12000	1000	1	500	111	1	0	1	4	4	0	0	-1	-1	4427.63538386835	1
Simulation_36	1.841	0.022	0.108	0.107	1.319	0.337	36	0.05	12000	1000	1	500	111	1	0	1	19	19	0	0	-1	-1	5812.25617286227	3
Simulation_37	2.847	0.068	0.234	0.034	2.574	0.79	37	0.05	12000	1000	1	500	111	1	0	1	14	15	1	0	-1	-1	4322.02761595036	2
Simulation_38	2.344	0.045	0.297	0.143	1.946	0.111	38	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	6405.65477285516	2
Simulation_39	1.338	0.09	0.171	0.071	0.691	0.563	39	0.05	12000	1000	1	500	111	1	0	1	24	25	1	1	0.236293683873036	12	6276.93386806159	2
Simulation_40	1.464	0.017	0.25	0.025	0.848	0.62	40	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4877.141772416	1
Simulation_41	2.47	0.062	0.124	0.098	2.103	0.167	41	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	5098.10238251322	1
Simulation_42	2.972	0.039	0.061	0.062	2.73	0.846	42	0.05	12000	1000	1	500	111	1	0	1	1	2	1	0	-1	-1	2823.06611175561	4
