Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_34	2.595	0.011	0.14	0.125	1.632	0.903	34	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6963.3531814872	4
Simulation_35	1.589	0.056	0.265	0.052	2.887	0.45	35	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4699.54385083562	4
Simulation_36	1.841	0.022	0.108	0.107	1.319	0.337	36	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4766.6239172548	3
Simulation_37	2.847	0.068	0.234	0.034	2.574	0.79	37	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4998.78882387969	2
Simulation_38	2.344	0.045	0.297	0.143	1.946	0.111	38	0.05	12000	1000	1	500	111	1	0	1	16	17	1	0	-1	-1	3210.43318487002	2
Simulation_39	1.338	0.09	0.171	0.071	0.691	0.563	39	0.05	12000	1000	1	500	111	1	0	1	2	5	3	0	-1	-1	5167.54981528619	4
Simulation_40	1.464	0.017	0.25	0.025	0.848	0.62	40	0.05	12000	1000	1	500	111	0	18	1	1821	1841	20	1	0.0029171528588098	2	688.118813025588	1
Simulation_41	2.47	0.062	0.124	0.098	2.103	0.167	41	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.491831971995333	4	4074.77396494923	2
Simulation_42	2.972	0.039	0.061	0.062	2.73	0.846	42	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7409.42255662848	5
Simulation_43	1.967	0.085	0.187	0.134	1.475	0.394	43	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4808.27846027052	4
Simulation_44	1.715	0.051	0.155	0.007	2.417	0.507	44	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4027.90217514412	2
Simulation_45	2.721	0.096	0.281	0.08	1.162	0.959	45	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	6678.69671398894	4
Simulation_46	2.218	0.028	0.218	0.043	0.534	0.28	46	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4308.39193444929	2
Simulation_47	1.212	0.073	0.093	0.116	1.789	0.733	47	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6063.32368592065	4
Simulation_48	1.149	0.031	0.116	0.148	2.966	0.988	48	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5285.63008300797	2
Simulation_49	2.155	0.076	0.242	0.075	1.711	0.535	49	0.05	12000	1000	1	500	111	1	0	1	62	63	1	1	0.255542590431739	56	3497.8590701262	3
Simulation_50	2.658	0.053	0.179	0.112	1.083	0.761	50	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5577.45558092909	4
Simulation_51	1.652	0.099	0.053	0.039	2.338	0.309	51	0.05	12000	1000	1	500	111	1	0	1	2	4	2	0	-1	-1	3503.21288259383	2
Simulation_52	1.904	0.042	0.273	0.13	0.77	0.195	52	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6073.87692247689	4
Simulation_53	2.91	0.087	0.148	0.057	2.025	0.648	53	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5057.72914224792	2
Simulation_54	2.407	0.02	0.085	0.093	2.652	0.422	54	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	9107.32358474733	4
Simulation_55	1.401	0.065	0.21	0.021	1.397	0.874	55	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5222.69236801178	4
Simulation_56	1.275	0.048	0.069	0.048	1.554	0.818	56	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	9066.7366311116	5
Simulation_57	2.281	0.093	0.195	0.121	2.809	0.365	57	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1	2815.32267737443	2
Simulation_58	2.784	0.025	0.257	0.012	2.181	0.592	58	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6506.06730466468	5
Simulation_59	1.778	0.07	0.132	0.084	0.926	0.139	59	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7707.97016409318	4
