Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	abs_col_area	div_col	dist_to_isthmus
Simulation_33	2.092	0.079	0.077	0.016	1.005	0.224	33	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7158.4455484322
Simulation_34	2.595	0.011	0.14	0.125	1.632	0.903	34	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5837.35739814086
Simulation_35	1.589	0.056	0.265	0.052	2.887	0.45	35	0.05	12000	1000	1	500	111	1	0	1	7	7	0	0	-1	-1	-1	4001.14515214512
Simulation_36	1.841	0.022	0.108	0.107	1.319	0.337	36	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4238.97159420554
Simulation_37	2.847	0.068	0.234	0.034	2.574	0.79	37	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5890.09069176961
Simulation_38	2.344	0.045	0.297	0.143	1.946	0.111	38	0.05	12000	1000	1	500	111	1	0	1	29	29	0	1	0.0011883541295306	2	14	688.637603308281
Simulation_39	1.338	0.09	0.171	0.071	0.691	0.563	39	0.05	12000	1000	1	500	111	1	0	1	82	84	2	1	0.922756981580511	1553	15	1195.67444503777
Simulation_40	1.464	0.017	0.25	0.025	0.848	0.62	40	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7095.3696276393
Simulation_41	2.47	0.062	0.124	0.098	2.103	0.167	41	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6806.55227379687
Simulation_42	2.972	0.039	0.061	0.062	2.73	0.846	42	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6792.08909002978
Simulation_43	1.967	0.085	0.187	0.134	1.475	0.394	43	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5853.28020766404
Simulation_44	1.715	0.051	0.155	0.007	2.417	0.507	44	0.05	12000	1000	1	500	111	1	0	1	1415	1592	177	0	-1	-1	-1	9357.78817541323
Simulation_45	2.721	0.096	0.281	0.08	1.162	0.959	45	0.05	12000	1000	1	500	111	1	0	1	1	2	1	0	-1	-1	-1	6792.08909002978
Simulation_46	2.218	0.028	0.218	0.043	0.534	0.28	46	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	3976.86822501362
Simulation_47	1.212	0.073	0.093	0.116	1.789	0.733	47	0.05	12000	1000	1	500	111	0	130	1	3015	3273	258	1	0.747381392483056	1213	11	7726.2474076209
Simulation_48	1.149	0.031	0.116	0.148	2.966	0.988	48	0.05	12000	1000	1	500	111	0	130	1	2372	2748	376	1	0.617375231053604	1002	84	4872.69685511228
Simulation_49	2.155	0.076	0.242	0.075	1.711	0.535	49	0.05	12000	1000	1	500	111	1	0	1	856	919	63	1	0.703505644682115	1184	21	3767.72069263318
Simulation_50	2.658	0.053	0.179	0.112	1.083	0.761	50	0.05	12000	1000	1	500	111	1	0	1	2	2	0	0	-1	-1	-1	2647.84459673927
Simulation_51	1.652	0.099	0.053	0.039	2.338	0.309	51	0.05	12000	1000	1	500	111	1	0	1	7	7	0	0	-1	-1	-1	4149.44783798984
Simulation_52	1.904	0.042	0.273	0.13	0.77	0.195	52	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5934.01388931765
Simulation_53	2.91	0.087	0.148	0.057	2.025	0.648	53	0.05	12000	1000	1	500	111	1	0	1	205	227	22	1	0.703505644682115	1184	4	4408.06721375254
Simulation_54	2.407	0.02	0.085	0.093	2.652	0.422	54	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	9220.53189060631
Simulation_55	1.401	0.065	0.21	0.021	1.397	0.874	55	0.05	12000	1000	1	500	111	1	0	1	15	16	1	0	-1	-1	-1	4489.83654561203
Simulation_56	1.275	0.048	0.069	0.048	1.554	0.818	56	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7345.53827593408
Simulation_57	2.281	0.093	0.195	0.121	2.809	0.365	57	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.0011883541295306	2	1	4165.16318827315
Simulation_58	2.784	0.025	0.257	0.012	2.181	0.592	58	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4995.54128779791
Simulation_59	1.778	0.07	0.132	0.084	0.926	0.139	59	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	Inf
Simulation_60	1.527	0.014	0.226	0.066	1.868	0.252	60	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7474.63287718097
Simulation_61	2.532	0.059	0.1	0.139	0.613	0.705	61	0.05	12000	1000	1	500	111	1	0	1	4	4	0	0	-1	-1	-1	7450.40185993519
Simulation_62	2.029	0.037	0.163	0.03	1.24	0.478	62	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5766.19959161911
Simulation_63	1.024	0.082	0.289	0.103	2.495	0.931	63	0.05	12000	1000	1	500	111	1	0	1	1487	1808	321	1	0.710041592394534	1195	2	8358.43168562794
Simulation_64	1.039	0.046	0.161	0.122	1.025	0.882	64	0.05	12000	1000	1	500	111	1	0	1	197	231	34	1	0.688057040998218	1158	51	3857.40801506965
Simulation_65	2.045	0.091	0.287	0.049	2.279	0.429	65	0.05	12000	1000	1	500	111	1	0	1	203	206	3	1	0.0011883541295306	2	2	3685.95136077369
Simulation_66	2.548	0.023	0.224	0.085	2.907	0.655	66	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	3128.08513689974
Simulation_67	1.542	0.068	0.099	0.013	1.652	0.203	67	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5821.17295935829
Simulation_68	1.794	0.012	0.255	0.14	2.593	0.316	68	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	7036.77464694701
Simulation_69	2.8	0.057	0.13	0.067	1.338	0.768	69	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6179.46574049725
Simulation_70	2.297	0.034	0.067	0.104	0.711	0.542	70	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	5631.88973993676
Simulation_71	1.291	0.08	0.193	0.031	1.966	0.995	71	0.05	12000	1000	1	500	111	1	0	1	724	783	59	1	0.821152703505645	1382	191	2980.04300458282
Simulation_72	1.417	0.029	0.083	0.076	2.123	0.938	72	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6668.51877997968
Simulation_73	2.422	0.074	0.208	0.149	0.868	0.485	73	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	Inf
Simulation_74	2.925	0.051	0.271	0.04	1.495	0.712	74	0.05	12000	1000	1	500	111	1	0	1	52	59	7	0	-1	-1	-1	4203.07381194999
Simulation_75	1.919	0.097	0.146	0.113	2.75	0.259	75	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6281.21108741518
Simulation_76	1.668	0.04	0.177	0.058	1.181	0.146	76	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4940.78791013037
Simulation_77	2.674	0.085	0.051	0.131	2.436	0.599	77	0.05	12000	1000	1	500	111	1	0	1	95	120	25	1	0.0029708853238265	5	3	7509.48526977634
Simulation_78	2.171	0.017	0.114	0.022	1.809	0.372	78	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5189.31430684999
Simulation_79	1.165	0.063	0.24	0.095	0.554	0.825	79	0.05	12000	1000	1	500	111	1	0	1	41	41	0	1	0.0392156862745098	66	1	3432.33923784273
Simulation_80	1.228	0.02	0.216	0.099	1.73	0.57	80	0.05	12000	1000	1	500	111	0	147	1	2177	2666	489	0	-1	-1	-1	8317.07900263525
Simulation_81	2.234	0.066	0.091	0.026	2.985	0.118	81	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6362.84349415625
Simulation_82	2.737	0.043	0.153	0.136	2.358	0.797	82	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5194.44680699817
Simulation_83	1.731	0.088	0.279	0.063	1.103	0.344	83	0.05	12000	1000	1	500	111	0	55	1	2303	2450	147	1	0.686999383857055	1115	4	7209.72078653225
Simulation_84	1.982	0.054	0.059	0.081	2.044	0.457	84	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4987.50767244511
Simulation_85	2.988	0.099	0.185	0.008	0.789	0.91	85	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	-1	7698.36473425981
Simulation_86	2.485	0.032	0.248	0.117	1.417	0.231	86	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5078.91742599353
Simulation_87	1.479	0.077	0.122	0.045	2.672	0.683	87	0.05	12000	1000	1	500	111	0	51	1	2686	2829	143	1	0.224576271186441	371	10	5428.36525491816
Simulation_88	1.354	0.037	0.295	0.017	2.828	0.74	88	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	6662.16642237638
Simulation_89	2.36	0.082	0.169	0.09	1.574	0.287	89	0.05	12000	1000	1	500	111	1	0	1	9	11	2	1	0.0011883541295306	2	1	4463.94147808033
Simulation_90	2.862	0.015	0.106	0.054	0.946	0.966	90	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	4747.70094705091
Simulation_91	1.857	0.06	0.232	0.126	2.201	0.514	91	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	-1	5625.96364074592
