Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance
Simulation_203	1.913	0.067	0.208	0.05	1.916	0.342	203	0.05	12000	1000	1	500	111
Simulation_204	1.663	0.011	0.053	0.104	0.977	0.455	204	0.05	12000	1000	1	500	111
Simulation_205	2.665	0.056	0.178	0.032	2.229	0.905	205	0.05	12000	1000	1	500	111
Simulation_206	2.164	0.034	0.117	0.14	2.856	0.229	206	0.05	12000	1000	1	500	111
Simulation_207	1.162	0.079	0.242	0.068	1.603	0.68	207	0.05	12000	1000	1	500	111
Simulation_208	1.225	0.036	0.122	0.054	0.586	0.934	208	0.05	12000	1000	1	500	111
Simulation_209	2.226	0.081	0.247	0.127	1.838	0.483	209	0.05	12000	1000	1	500	111
Simulation_210	2.727	0.014	0.061	0.018	2.464	0.708	210	0.05	12000	1000	1	500	111
Simulation_211	1.726	0.059	0.186	0.091	1.212	0.258	211	0.05	12000	1000	1	500	111
Simulation_212	1.976	0.025	0.092	0.072	2.777	0.145	212	0.05	12000	1000	1	500	111
Simulation_213	2.978	0.07	0.217	0.145	1.525	0.596	213	0.05	12000	1000	1	500	111
Simulation_214	2.477	0.048	0.156	0.036	0.899	0.37	214	0.05	12000	1000	1	500	111
Simulation_215	1.475	0.093	0.281	0.109	2.151	0.821	215	0.05	12000	1000	1	500	111
Simulation_216	1.35	0.019	0.075	0.136	1.995	0.877	216	0.05	12000	1000	1	500	111
Simulation_217	2.352	0.064	0.2	0.063	0.742	0.427	217	0.05	12000	1000	1	500	111
Simulation_218	2.852	0.042	0.139	0.1	1.368	0.652	218	0.05	12000	1000	1	500	111
Simulation_219	1.851	0.087	0.264	0.027	2.621	0.201	219	0.05	12000	1000	1	500	111
Simulation_220	1.6	0.053	0.169	0.118	1.682	0.314	220	0.05	12000	1000	1	500	111
Simulation_221	2.602	0.098	0.294	0.045	2.934	0.765	221	0.05	12000	1000	1	500	111
Simulation_222	2.101	0.031	0.108	0.081	2.308	0.539	222	0.05	12000	1000	1	500	111
Simulation_223	1.1	0.076	0.233	0.009	1.055	0.99	223	0.05	12000	1000	1	500	111
Simulation_224	1.068	0.052	0.167	0.102	2.895	0.159	224	0.05	12000	1000	1	500	111
Simulation_225	2.07	0.097	0.292	0.029	1.642	0.61	225	0.05	12000	1000	1	500	111
Simulation_226	2.571	0.029	0.103	0.138	1.016	0.384	226	0.05	12000	1000	1	500	111
Simulation_227	1.569	0.074	0.228	0.066	2.269	0.835	227	0.05	12000	1000	1	500	111
Simulation_228	1.82	0.018	0.072	0.084	0.703	0.948	228	0.05	12000	1000	1	500	111
Simulation_229	2.821	0.063	0.197	0.011	1.955	0.497	229	0.05	12000	1000	1	500	111
Simulation_230	2.32	0.041	0.136	0.12	2.582	0.722	230	0.05	12000	1000	1	500	111
Simulation_231	1.319	0.086	0.261	0.047	1.329	0.272	231	0.05	12000	1000	1	500	111
Simulation_232	1.444	0.024	0.089	0.02	1.486	0.215	232	0.05	12000	1000	1	500	111
Simulation_233	2.445	0.069	0.214	0.093	2.738	0.666	233	0.05	12000	1000	1	500	111
Simulation_234	2.946	0.046	0.15	0.057	2.112	0.441	234	0.05	12000	1000	1	500	111
Simulation_235	1.945	0.091	0.275	0.129	0.86	0.891	235	0.05	12000	1000	1	500	111
Simulation_236	1.694	0.035	0.119	0.038	1.799	0.779	236	0.05	12000	1000	1	500	111
Simulation_237	2.696	0.08	0.244	0.111	0.546	0.328	237	0.05	12000	1000	1	500	111
Simulation_238	2.195	0.012	0.056	0.075	1.173	0.553	238	0.05	12000	1000	1	500	111
Simulation_239	1.194	0.057	0.181	0.147	2.425	0.103	239	0.05	12000	1000	1	500	111
Simulation_240	1.131	0.015	0.064	0.116	2.347	0.356	240	0.05	12000	1000	1	500	111
Simulation_241	2.133	0.06	0.189	0.043	1.094	0.807	241	0.05	12000	1000	1	500	111
Simulation_242	2.633	0.038	0.128	0.079	1.721	0.131	242	0.05	12000	1000	1	500	111
Simulation_243	1.632	0.083	0.253	0.007	2.973	0.581	243	0.05	12000	1000	1	500	111
Simulation_244	1.882	0.049	0.158	0.134	1.408	0.694	244	0.05	12000	1000	1	500	111
Simulation_245	2.884	0.094	0.283	0.061	2.66	0.243	245	0.05	12000	1000	1	500	111
Simulation_246	2.383	0.026	0.094	0.097	2.034	0.919	246	0.05	12000	1000	1	500	111
Simulation_247	1.381	0.072	0.222	0.025	0.781	0.469	247	0.05	12000	1000	1	500	111
Simulation_248	1.256	0.043	0.142	0.07	0.938	0.525	248	0.05	12000	1000	1	500	111
Simulation_249	2.258	0.088	0.267	0.143	2.19	0.976	249	0.05	12000	1000	1	500	111
Simulation_250	2.758	0.021	0.081	0.034	2.817	0.3	250	0.05	12000	1000	1	500	111
Simulation_251	1.757	0.066	0.206	0.106	1.564	0.75	251	0.05	12000	1000	1	500	111
Simulation_252	1.507	0.032	0.111	0.052	2.503	0.638	252	0.05	12000	1000	1	500	111
Simulation_253	2.508	0.077	0.236	0.125	1.251	0.187	253	0.05	12000	1000	1	500	111
Simulation_254	2.007	0.055	0.175	0.016	0.625	0.863	254	0.05	12000	1000	1	500	111
Simulation_255	1.006	0.1	0.3	0.088	1.877	0.412	255	0.05	12000	1000	1	500	111
Simulation_256	1.01	0.055	0.175	0.046	2.587	0.978	256	0.05	12000	1000	1	500	111
Simulation_257	2.011	0.1	0.3	0.119	1.334	0.527	257	0.05	12000	1000	1	500	111
Simulation_258	2.512	0.032	0.111	0.01	0.708	0.752	258	0.05	12000	1000	1	500	111
Simulation_259	1.511	0.077	0.236	0.082	1.96	0.302	259	0.05	12000	1000	1	500	111
Simulation_260	1.761	0.021	0.081	0.064	1.021	0.189	260	0.05	12000	1000	1	500	111
Simulation_261	2.762	0.066	0.206	0.137	2.273	0.64	261	0.05	12000	1000	1	500	111
Simulation_262	2.262	0.044	0.144	0.028	2.9	0.414	262	0.05	12000	1000	1	500	111
Simulation_263	1.26	0.089	0.269	0.1	1.647	0.865	263	0.05	12000	1000	1	500	111
Simulation_264	1.385	0.027	0.097	0.146	1.178	0.809	264	0.05	12000	1000	1	500	111
Simulation_265	2.387	0.072	0.222	0.073	2.43	0.358	265	0.05	12000	1000	1	500	111
Simulation_266	2.888	0.049	0.158	0.11	1.804	0.583	266	0.05	12000	1000	1	500	111
Simulation_267	1.886	0.094	0.283	0.037	0.551	0.133	267	0.05	12000	1000	1	500	111
Simulation_268	1.636	0.038	0.128	0.128	2.117	0.245	268	0.05	12000	1000	1	500	111
Simulation_269	2.637	0.083	0.253	0.055	0.864	0.696	269	0.05	12000	1000	1	500	111
Simulation_270	2.136	0.015	0.064	0.091	1.491	0.471	270	0.05	12000	1000	1	500	111
Simulation_271	1.135	0.06	0.189	0.019	2.743	0.921	271	0.05	12000	1000	1	500	111
Simulation_272	1.198	0.013	0.058	0.023	2.039	0.668	272	0.05	12000	1000	1	500	111
Simulation_273	2.199	0.058	0.183	0.096	0.786	0.217	273	0.05	12000	1000	1	500	111
Simulation_274	2.7	0.035	0.119	0.06	1.412	0.893	274	0.05	12000	1000	1	500	111
Simulation_275	1.698	0.08	0.244	0.132	2.665	0.442	275	0.05	12000	1000	1	500	111
Simulation_276	1.949	0.046	0.15	0.005	1.726	0.33	276	0.05	12000	1000	1	500	111
Simulation_277	2.95	0.091	0.275	0.078	2.978	0.78	277	0.05	12000	1000	1	500	111
Simulation_278	2.449	0.024	0.089	0.041	2.352	0.104	278	0.05	12000	1000	1	500	111
Simulation_279	1.448	0.069	0.214	0.114	1.099	0.555	279	0.05	12000	1000	1	500	111
Simulation_280	1.323	0.041	0.136	0.087	0.63	0.611	280	0.05	12000	1000	1	500	111
Simulation_281	2.324	0.086	0.261	0.014	1.882	0.161	281	0.05	12000	1000	1	500	111
Simulation_282	2.825	0.018	0.072	0.123	2.508	0.837	282	0.05	12000	1000	1	500	111
Simulation_283	1.823	0.063	0.197	0.051	1.256	0.386	283	0.05	12000	1000	1	500	111
Simulation_284	1.573	0.029	0.103	0.105	2.821	0.499	284	0.05	12000	1000	1	500	111
Simulation_285	2.575	0.075	0.231	0.032	1.569	0.949	285	0.05	12000	1000	1	500	111
Simulation_286	2.074	0.052	0.167	0.141	0.943	0.273	286	0.05	12000	1000	1	500	111
Simulation_287	1.072	0.097	0.292	0.069	2.195	0.724	287	0.05	12000	1000	1	500	111
Simulation_288	1.104	0.031	0.108	0.13	1.452	0.428	288	0.05	12000	1000	1	500	111
Simulation_289	2.105	0.076	0.233	0.057	2.704	0.879	289	0.05	12000	1000	1	500	111
Simulation_290	2.606	0.053	0.169	0.094	2.078	0.203	290	0.05	12000	1000	1	500	111
Simulation_291	1.604	0.098	0.294	0.021	0.825	0.654	291	0.05	12000	1000	1	500	111
Simulation_292	1.855	0.042	0.139	0.148	1.765	0.766	292	0.05	12000	1000	1	500	111
Simulation_293	2.856	0.087	0.264	0.076	0.512	0.316	293	0.05	12000	1000	1	500	111
Simulation_294	2.356	0.02	0.078	0.112	1.138	0.992	294	0.05	12000	1000	1	500	111
Simulation_295	1.354	0.065	0.203	0.039	2.391	0.541	295	0.05	12000	1000	1	500	111
Simulation_296	1.479	0.048	0.156	0.066	2.861	0.485	296	0.05	12000	1000	1	500	111
Simulation_297	2.481	0.093	0.281	0.139	1.608	0.935	297	0.05	12000	1000	1	500	111
Simulation_298	2.981	0.025	0.092	0.03	0.982	0.259	298	0.05	12000	1000	1	500	111
Simulation_299	1.98	0.07	0.217	0.103	2.234	0.71	299	0.05	12000	1000	1	500	111
Simulation_300	1.73	0.014	0.061	0.048	0.669	0.597	300	0.05	12000	1000	1	500	111
Simulation_301	2.731	0.059	0.186	0.121	1.921	0.147	301	0.05	12000	1000	1	500	111
Simulation_302	2.23	0.036	0.122	0.012	2.547	0.823	302	0.05	12000	1000	1	500	111
Simulation_303	1.229	0.082	0.25	0.085	1.295	0.372	303	0.05	12000	1000	1	500	111
Simulation_304	1.166	0.034	0.117	0.107	0.904	0.118	304	0.05	12000	1000	1	500	111
Simulation_305	2.168	0.079	0.242	0.035	2.156	0.569	305	0.05	12000	1000	1	500	111
Simulation_306	2.668	0.011	0.053	0.144	2.782	0.344	306	0.05	12000	1000	1	500	111
Simulation_307	1.667	0.056	0.178	0.071	1.53	0.794	307	0.05	12000	1000	1	500	111
Simulation_308	1.917	0.022	0.083	0.089	2.469	0.907	308	0.05	12000	1000	1	500	111
Simulation_309	2.919	0.067	0.208	0.016	1.217	0.456	309	0.05	12000	1000	1	500	111
Simulation_310	2.418	0.045	0.147	0.125	0.591	0.682	310	0.05	12000	1000	1	500	111
Simulation_311	1.417	0.09	0.272	0.053	1.843	0.231	311	0.05	12000	1000	1	500	111
Simulation_312	1.291	0.017	0.069	0.007	2.313	0.287	312	0.05	12000	1000	1	500	111
Simulation_313	2.293	0.062	0.194	0.08	1.06	0.738	313	0.05	12000	1000	1	500	111
Simulation_314	2.794	0.039	0.131	0.044	1.686	0.513	314	0.05	12000	1000	1	500	111
Simulation_315	1.792	0.084	0.256	0.116	2.939	0.963	315	0.05	12000	1000	1	500	111
Simulation_316	1.542	0.051	0.164	0.026	1.373	0.851	316	0.05	12000	1000	1	500	111
Simulation_317	2.543	0.096	0.289	0.098	2.626	0.4	317	0.05	12000	1000	1	500	111
Simulation_318	2.043	0.028	0.1	0.062	2	0.625	318	0.05	12000	1000	1	500	111
Simulation_319	1.041	0.073	0.225	0.135	0.747	0.175	319	0.05	12000	1000	1	500	111
Simulation_320	1.057	0.019	0.075	0.081	2.724	0.238	320	0.05	12000	1000	1	500	111
Simulation_321	2.058	0.064	0.2	0.009	1.471	0.689	321	0.05	12000	1000	1	500	111
Simulation_322	2.559	0.041	0.136	0.118	0.845	0.464	322	0.05	12000	1000	1	500	111
Simulation_323	1.557	0.086	0.261	0.045	2.097	0.914	323	0.05	12000	1000	1	500	111
Simulation_324	1.808	0.053	0.169	0.099	0.532	0.802	324	0.05	12000	1000	1	500	111
Simulation_325	2.809	0.098	0.294	0.027	1.784	0.351	325	0.05	12000	1000	1	500	111
Simulation_326	2.309	0.03	0.106	0.136	2.41	0.576	326	0.05	12000	1000	1	500	111
Simulation_327	1.307	0.075	0.231	0.063	1.158	0.126	327	0.05	12000	1000	1	500	111
Simulation_328	1.432	0.036	0.122	0.036	1.628	0.182	328	0.05	12000	1000	1	500	111
Simulation_329	2.434	0.081	0.247	0.108	2.88	0.633	329	0.05	12000	1000	1	500	111
Simulation_330	2.934	0.013	0.058	0.072	2.254	0.407	330	0.05	12000	1000	1	500	111
Simulation_331	1.933	0.058	0.183	0.145	1.001	0.858	331	0.05	12000	1000	1	500	111
Simulation_332	1.683	0.025	0.092	0.018	1.941	0.971	332	0.05	12000	1000	1	500	111
Simulation_333	2.684	0.07	0.217	0.09	0.688	0.52	333	0.05	12000	1000	1	500	111
Simulation_334	2.183	0.047	0.153	0.054	1.315	0.745	334	0.05	12000	1000	1	500	111
Simulation_335	1.182	0.092	0.278	0.127	2.567	0.295	335	0.05	12000	1000	1	500	111
Simulation_336	1.244	0.044	0.144	0.14	2.176	0.548	336	0.05	12000	1000	1	500	111
Simulation_337	2.246	0.089	0.269	0.068	0.923	0.999	337	0.05	12000	1000	1	500	111
Simulation_338	2.747	0.022	0.083	0.104	1.549	0.323	338	0.05	12000	1000	1	500	111
Simulation_339	1.745	0.067	0.208	0.031	2.802	0.773	339	0.05	12000	1000	1	500	111
Simulation_340	1.996	0.01	0.05	0.122	1.236	0.661	340	0.05	12000	1000	1	500	111
Simulation_341	2.997	0.056	0.178	0.049	2.489	0.21	341	0.05	12000	1000	1	500	111
Simulation_342	2.496	0.033	0.114	0.086	1.863	0.886	342	0.05	12000	1000	1	500	111
Simulation_343	1.495	0.078	0.239	0.013	0.61	0.435	343	0.05	12000	1000	1	500	111
Simulation_344	1.37	0.027	0.097	0.058	1.08	0.379	344	0.05	12000	1000	1	500	111
Simulation_345	2.371	0.072	0.222	0.131	2.332	0.83	345	0.05	12000	1000	1	500	111
Simulation_346	2.872	0.05	0.161	0.022	2.958	0.154	346	0.05	12000	1000	1	500	111
Simulation_347	1.87	0.095	0.286	0.095	1.706	0.604	347	0.05	12000	1000	1	500	111
Simulation_348	1.62	0.039	0.131	0.077	2.645	0.717	348	0.05	12000	1000	1	500	111
Simulation_349	2.622	0.084	0.256	0.149	1.393	0.266	349	0.05	12000	1000	1	500	111
Simulation_350	2.121	0.016	0.067	0.04	0.767	0.942	350	0.05	12000	1000	1	500	111
Simulation_351	1.119	0.061	0.192	0.113	2.019	0.492	351	0.05	12000	1000	1	500	111
Simulation_352	1.088	0.043	0.142	0.015	1.354	0.562	352	0.05	12000	1000	1	500	111
Simulation_353	2.089	0.088	0.267	0.088	2.606	0.111	353	0.05	12000	1000	1	500	111
Simulation_354	2.59	0.02	0.078	0.052	1.98	0.787	354	0.05	12000	1000	1	500	111
Simulation_355	1.589	0.065	0.203	0.124	0.727	0.337	355	0.05	12000	1000	1	500	111
Simulation_356	1.839	0.032	0.111	0.034	2.293	0.449	356	0.05	12000	1000	1	500	111
Simulation_357	2.841	0.077	0.236	0.106	1.041	0.9	357	0.05	12000	1000	1	500	111
Simulation_358	2.34	0.054	0.172	0.07	1.667	0.224	358	0.05	12000	1000	1	500	111
Simulation_359	1.338	0.099	0.297	0.142	2.919	0.675	359	0.05	12000	1000	1	500	111
Simulation_360	1.464	0.015	0.064	0.097	2.45	0.731	360	0.05	12000	1000	1	500	111
Simulation_361	2.465	0.06	0.189	0.024	1.197	0.28	361	0.05	12000	1000	1	500	111
Simulation_362	2.966	0.037	0.125	0.133	0.571	0.956	362	0.05	12000	1000	1	500	111
Simulation_363	1.964	0.082	0.25	0.061	1.823	0.506	363	0.05	12000	1000	1	500	111
Simulation_364	1.714	0.048	0.156	0.079	0.884	0.393	364	0.05	12000	1000	1	500	111
Simulation_365	2.715	0.094	0.283	0.006	2.136	0.844	365	0.05	12000	1000	1	500	111
Simulation_366	2.215	0.026	0.094	0.115	2.763	0.168	366	0.05	12000	1000	1	500	111
Simulation_367	1.213	0.071	0.219	0.043	1.51	0.618	367	0.05	12000	1000	1	500	111
Simulation_368	1.151	0.023	0.086	0.074	0.806	0.872	368	0.05	12000	1000	1	500	111
Simulation_369	2.152	0.068	0.211	0.147	2.058	0.421	369	0.05	12000	1000	1	500	111
Simulation_370	2.653	0.046	0.15	0.038	2.684	0.647	370	0.05	12000	1000	1	500	111
Simulation_371	1.651	0.091	0.275	0.111	1.432	0.196	371	0.05	12000	1000	1	500	111
Simulation_372	1.902	0.034	0.117	0.056	2.998	0.309	372	0.05	12000	1000	1	500	111
Simulation_373	2.903	0.079	0.242	0.129	1.745	0.759	373	0.05	12000	1000	1	500	111
Simulation_374	2.402	0.012	0.056	0.02	1.119	0.534	374	0.05	12000	1000	1	500	111
Simulation_375	1.401	0.057	0.181	0.093	2.371	0.985	375	0.05	12000	1000	1	500	111
Simulation_376	1.276	0.051	0.164	0.12	1.902	0.928	376	0.05	12000	1000	1	500	111
Simulation_377	2.277	0.096	0.289	0.047	0.649	0.478	377	0.05	12000	1000	1	500	111
Simulation_378	2.778	0.029	0.103	0.083	1.275	0.703	378	0.05	12000	1000	1	500	111
Simulation_379	1.777	0.074	0.228	0.011	2.528	0.252	379	0.05	12000	1000	1	500	111
Simulation_380	1.526	0.017	0.069	0.138	1.589	0.14	380	0.05	12000	1000	1	500	111
Simulation_381	2.528	0.063	0.197	0.065	2.841	0.59	381	0.05	12000	1000	1	500	111
Simulation_382	2.027	0.04	0.133	0.102	2.215	0.365	382	0.05	12000	1000	1	500	111
Simulation_383	1.025	0.085	0.258	0.029	0.962	0.816	383	0.05	12000	1000	1	500	111
Simulation_384	1.018	0.025	0.092	0.11	2.088	0.615	384	0.05	12000	1000	1	500	111
Simulation_385	2.019	0.07	0.217	0.037	0.835	0.164	385	0.05	12000	1000	1	500	111
Simulation_386	2.52	0.047	0.153	0.146	1.461	0.84	386	0.05	12000	1000	1	500	111
Simulation_387	1.518	0.092	0.278	0.074	2.714	0.39	387	0.05	12000	1000	1	500	111
Simulation_388	1.769	0.036	0.122	0.092	1.148	0.502	388	0.05	12000	1000	1	500	111
Simulation_389	2.77	0.081	0.247	0.019	2.401	0.953	389	0.05	12000	1000	1	500	111
Simulation_390	2.269	0.014	0.061	0.128	1.774	0.277	390	0.05	12000	1000	1	500	111
Simulation_391	1.268	0.059	0.186	0.056	0.522	0.728	391	0.05	12000	1000	1	500	111
Simulation_392	1.393	0.053	0.169	0.01	0.992	0.671	392	0.05	12000	1000	1	500	111
Simulation_393	2.395	0.098	0.294	0.083	2.244	0.221	393	0.05	12000	1000	1	500	111
Simulation_394	2.895	0.031	0.108	0.047	2.87	0.897	394	0.05	12000	1000	1	500	111
Simulation_395	1.894	0.076	0.233	0.119	1.618	0.446	395	0.05	12000	1000	1	500	111
Simulation_396	1.644	0.019	0.075	0.028	2.557	0.333	396	0.05	12000	1000	1	500	111
Simulation_397	2.645	0.064	0.2	0.101	1.305	0.784	397	0.05	12000	1000	1	500	111
Simulation_398	2.144	0.042	0.139	0.065	0.679	0.108	398	0.05	12000	1000	1	500	111
Simulation_399	1.143	0.087	0.264	0.137	1.931	0.559	399	0.05	12000	1000	1	500	111
Simulation_400	1.205	0.039	0.131	0.124	2.792	0.812	400	0.05	12000	1000	1	500	111
Simulation_401	2.207	0.084	0.256	0.051	1.54	0.361	401	0.05	12000	1000	1	500	111
Simulation_402	2.708	0.016	0.067	0.087	0.913	0.587	402	0.05	12000	1000	1	500	111
Simulation_403	1.706	0.061	0.192	0.015	2.166	0.136	403	0.05	12000	1000	1	500	111
Simulation_404	1.956	0.028	0.1	0.142	0.6	0.249	404	0.05	12000	1000	1	500	111
Simulation_405	2.958	0.073	0.225	0.069	1.853	0.699	405	0.05	12000	1000	1	500	111
Simulation_406	2.457	0.05	0.161	0.106	2.479	0.474	406	0.05	12000	1000	1	500	111
Simulation_407	1.456	0.095	0.286	0.033	1.227	0.925	407	0.05	12000	1000	1	500	111
Simulation_408	1.331	0.011	0.053	0.06	1.696	0.981	408	0.05	12000	1000	1	500	111
Simulation_409	2.332	0.056	0.178	0.133	2.949	0.53	409	0.05	12000	1000	1	500	111
Simulation_410	2.833	0.033	0.114	0.024	2.322	0.756	410	0.05	12000	1000	1	500	111
Simulation_411	1.831	0.078	0.239	0.097	1.07	0.305	411	0.05	12000	1000	1	500	111
Simulation_412	1.581	0.045	0.147	0.042	2.009	0.192	412	0.05	12000	1000	1	500	111
Simulation_413	2.582	0.09	0.272	0.115	0.757	0.643	413	0.05	12000	1000	1	500	111
Simulation_414	2.082	0.022	0.083	0.006	1.383	0.418	414	0.05	12000	1000	1	500	111
Simulation_415	1.08	0.067	0.208	0.078	2.636	0.868	415	0.05	12000	1000	1	500	111
Simulation_416	1.111	0.049	0.158	0.031	0.718	0.291	416	0.05	12000	1000	1	500	111
Simulation_417	2.113	0.094	0.283	0.103	1.97	0.742	417	0.05	12000	1000	1	500	111
Simulation_418	2.614	0.026	0.094	0.067	2.596	0.516	418	0.05	12000	1000	1	500	111
Simulation_419	1.612	0.071	0.219	0.14	1.344	0.967	419	0.05	12000	1000	1	500	111
Simulation_420	1.863	0.015	0.064	0.013	2.909	0.854	420	0.05	12000	1000	1	500	111
Simulation_421	2.864	0.06	0.189	0.085	1.657	0.404	421	0.05	12000	1000	1	500	111
Simulation_422	2.363	0.038	0.128	0.049	1.031	0.629	422	0.05	12000	1000	1	500	111
Simulation_423	1.362	0.083	0.253	0.121	2.283	0.178	423	0.05	12000	1000	1	500	111
Simulation_424	1.487	0.032	0.111	0.094	1.814	0.122	424	0.05	12000	1000	1	500	111
Simulation_425	2.489	0.077	0.236	0.022	0.561	0.573	425	0.05	12000	1000	1	500	111
Simulation_426	2.989	0.054	0.172	0.131	1.187	0.347	426	0.05	12000	1000	1	500	111
Simulation_427	1.988	0.1	0.3	0.058	2.44	0.798	427	0.05	12000	1000	1	500	111
Simulation_428	1.737	0.043	0.142	0.112	1.5	0.911	428	0.05	12000	1000	1	500	111
Simulation_429	2.739	0.088	0.267	0.04	2.753	0.46	429	0.05	12000	1000	1	500	111
Simulation_430	2.238	0.021	0.081	0.149	2.127	0.685	430	0.05	12000	1000	1	500	111
Simulation_431	1.237	0.066	0.206	0.076	0.874	0.235	431	0.05	12000	1000	1	500	111
Simulation_432	1.174	0.018	0.072	0.044	1.422	0.488	432	0.05	12000	1000	1	500	111
Simulation_433	2.176	0.063	0.197	0.117	2.675	0.939	433	0.05	12000	1000	1	500	111
Simulation_434	2.676	0.04	0.133	0.008	2.048	0.263	434	0.05	12000	1000	1	500	111
Simulation_435	1.675	0.085	0.258	0.081	0.796	0.713	435	0.05	12000	1000	1	500	111
Simulation_436	1.925	0.052	0.167	0.062	2.362	0.601	436	0.05	12000	1000	1	500	111
Simulation_437	2.927	0.097	0.292	0.135	1.109	0.15	437	0.05	12000	1000	1	500	111
Simulation_438	2.426	0.029	0.103	0.026	1.735	0.826	438	0.05	12000	1000	1	500	111
Simulation_439	1.424	0.074	0.228	0.099	2.988	0.376	439	0.05	12000	1000	1	500	111
Simulation_440	1.299	0.035	0.119	0.144	2.518	0.432	440	0.05	12000	1000	1	500	111
Simulation_441	2.301	0.08	0.244	0.072	1.266	0.882	441	0.05	12000	1000	1	500	111
Simulation_442	2.801	0.012	0.056	0.108	0.639	0.207	442	0.05	12000	1000	1	500	111
Simulation_443	1.8	0.057	0.181	0.035	1.892	0.657	443	0.05	12000	1000	1	500	111
Simulation_444	1.55	0.023	0.086	0.126	0.953	0.77	444	0.05	12000	1000	1	500	111
Simulation_445	2.551	0.069	0.214	0.053	2.205	0.319	445	0.05	12000	1000	1	500	111
Simulation_446	2.05	0.046	0.15	0.09	2.831	0.995	446	0.05	12000	1000	1	500	111
Simulation_447	1.049	0.091	0.275	0.017	1.579	0.544	447	0.05	12000	1000	1	500	111
Simulation_448	1.033	0.037	0.125	0.073	1.951	0.368	448	0.05	12000	1000	1	500	111
Simulation_449	2.035	0.082	0.25	0.145	0.698	0.819	449	0.05	12000	1000	1	500	111
Simulation_450	2.535	0.014	0.061	0.036	1.324	0.143	450	0.05	12000	1000	1	500	111
Simulation_451	1.534	0.059	0.186	0.109	2.577	0.594	451	0.05	12000	1000	1	500	111
Simulation_452	1.784	0.026	0.094	0.055	1.637	0.706	452	0.05	12000	1000	1	500	111
Simulation_453	2.786	0.071	0.219	0.127	2.89	0.256	453	0.05	12000	1000	1	500	111
Simulation_454	2.285	0.048	0.156	0.018	2.264	0.932	454	0.05	12000	1000	1	500	111
Simulation_455	1.284	0.093	0.281	0.091	1.011	0.481	455	0.05	12000	1000	1	500	111
Simulation_456	1.409	0.02	0.078	0.118	0.542	0.537	456	0.05	12000	1000	1	500	111
Simulation_457	2.41	0.065	0.203	0.045	1.794	0.988	457	0.05	12000	1000	1	500	111
Simulation_458	2.911	0.042	0.139	0.082	2.42	0.312	458	0.05	12000	1000	1	500	111
Simulation_459	1.91	0.088	0.267	0.009	1.168	0.763	459	0.05	12000	1000	1	500	111
Simulation_460	1.659	0.054	0.172	0.136	2.733	0.65	460	0.05	12000	1000	1	500	111
Simulation_461	2.661	0.099	0.297	0.064	1.481	0.199	461	0.05	12000	1000	1	500	111
Simulation_462	2.16	0.031	0.108	0.1	0.855	0.875	462	0.05	12000	1000	1	500	111
Simulation_463	1.158	0.076	0.233	0.027	2.107	0.425	463	0.05	12000	1000	1	500	111
Simulation_464	1.221	0.028	0.1	0.023	2.655	0.171	464	0.05	12000	1000	1	500	111
Simulation_465	2.222	0.073	0.225	0.095	1.403	0.622	465	0.05	12000	1000	1	500	111
Simulation_466	2.723	0.051	0.164	0.059	0.776	0.397	466	0.05	12000	1000	1	500	111
Simulation_467	1.722	0.096	0.289	0.132	2.029	0.847	467	0.05	12000	1000	1	500	111
Simulation_468	1.972	0.04	0.133	0.041	1.09	0.96	468	0.05	12000	1000	1	500	111
Simulation_469	2.974	0.085	0.258	0.114	2.342	0.509	469	0.05	12000	1000	1	500	111
Simulation_470	2.473	0.017	0.069	0.077	2.968	0.735	470	0.05	12000	1000	1	500	111
Simulation_471	1.471	0.062	0.194	0.15	1.716	0.284	471	0.05	12000	1000	1	500	111
Simulation_472	1.346	0.045	0.147	0.104	1.246	0.228	472	0.05	12000	1000	1	500	111
Simulation_473	2.348	0.09	0.272	0.032	2.499	0.678	473	0.05	12000	1000	1	500	111
Simulation_474	2.848	0.023	0.086	0.141	1.872	0.453	474	0.05	12000	1000	1	500	111
Simulation_475	1.847	0.068	0.211	0.068	0.62	0.904	475	0.05	12000	1000	1	500	111
Simulation_476	1.597	0.011	0.053	0.086	2.185	0.791	476	0.05	12000	1000	1	500	111
Simulation_477	2.598	0.057	0.181	0.014	0.933	0.34	477	0.05	12000	1000	1	500	111
Simulation_478	2.097	0.034	0.117	0.123	1.559	0.566	478	0.05	12000	1000	1	500	111
Simulation_479	1.096	0.079	0.242	0.05	2.812	0.115	479	0.05	12000	1000	1	500	111
Simulation_480	1.065	0.013	0.058	0.134	0.816	0.918	480	0.05	12000	1000	1	500	111
Simulation_481	2.066	0.058	0.183	0.061	2.068	0.467	481	0.05	12000	1000	1	500	111
Simulation_482	2.567	0.035	0.119	0.098	2.694	0.692	482	0.05	12000	1000	1	500	111
Simulation_483	1.565	0.081	0.247	0.025	1.442	0.242	483	0.05	12000	1000	1	500	111
Simulation_484	1.816	0.047	0.153	0.116	2.381	0.129	484	0.05	12000	1000	1	500	111
Simulation_485	2.817	0.092	0.278	0.043	1.129	0.58	485	0.05	12000	1000	1	500	111
Simulation_486	2.316	0.024	0.089	0.079	0.502	0.354	486	0.05	12000	1000	1	500	111
