Sim_index	S	omega_T	omega_P	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged
Simulation_1	1.998	0.055	0.175	0.078	1.75	0.549	1	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_2	2.501	0.032	0.111	0.041	2.377	0.323	2	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_3	1.495	0.078	0.239	0.114	1.123	0.775	3	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_4	1.747	0.044	0.144	0.023	2.691	0.889	4	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_5	2.752	0.089	0.269	0.096	1.436	0.436	5	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_6	2.25	0.021	0.081	0.059	0.809	0.662	6	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_7	1.244	0.066	0.206	0.132	2.064	0.21	7	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_8	1.369	0.038	0.128	0.105	1.907	0.266	8	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_9	2.375	0.083	0.253	0.032	0.652	0.719	9	0.05	12000	1000	1	500	111	1	0	1	2	4	2	1
Simulation_10	2.878	0.015	0.064	0.141	1.279	0.493	10	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_11	1.872	0.061	0.192	0.068	2.534	0.945	11	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_12	1.621	0.027	0.097	0.087	1.593	0.832	12	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_13	2.627	0.072	0.222	0.014	2.848	0.379	13	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1
Simulation_14	2.124	0.049	0.158	0.123	2.221	0.606	14	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_15	1.118	0.095	0.286	0.05	0.966	0.153	15	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_16	1.181	0.052	0.167	0.064	1.201	0.408	16	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
Simulation_17	2.187	0.097	0.292	0.137	2.456	0.86	17	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1
