Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col	dist_to_isthmus	start_biome
Simulation_40	1.464	0.017	0.121	0.848	0.225	40	0.05	12000	1000	1	500	111	1	0	1	32	36	4	0	-1	-1	577.803831854341	1
Simulation_41	2.47	0.062	0.048	2.103	0.677	41	0.05	12000	1000	1	500	111	1	0	1	133	133	0	0	-1	-1	3887.21265792509	2
Simulation_42	2.972	0.039	0.012	1.475	0.903	42	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6358.5869410463	4
Simulation_43	1.967	0.085	0.084	2.73	0.451	43	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4775.03730637112	4
Simulation_44	1.715	0.051	0.066	0.534	0.79	44	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4122.71125595801	2
Simulation_45	2.721	0.096	0.139	1.789	0.338	45	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6615.85951898636	3
Simulation_46	2.218	0.028	0.103	1.162	0.112	46	0.05	12000	1000	1	500	111	1	0	1	117	119	2	1	0.490665110851809	28	4308.39193444929	2
Simulation_47	1.212	0.073	0.03	2.417	0.564	47	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6043.13990294183	4
Simulation_48	1.149	0.031	0.043	2.966	0.988	48	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5296.48042657216	2
Simulation_49	2.155	0.076	0.116	1.711	0.536	49	0.05	12000	1000	1	500	111	1	0	1	38	40	2	0	-1	-1	3451.69478258347	3
Simulation_50	2.658	0.053	0.08	2.338	0.31	50	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5495.47442780051	4
Simulation_51	1.652	0.099	0.007	1.083	0.762	51	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.907234539089848	7	3405.74546621041	2
Simulation_52	1.904	0.042	0.134	2.652	0.197	52	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6099.65475815905	4
Simulation_53	2.91	0.087	0.062	1.397	0.649	53	0.05	12000	1000	1	500	111	1	0	1	31	31	0	0	-1	-1	5119.20927844193	4
Simulation_54	2.407	0.02	0.025	2.025	0.875	54	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	9199.54632965355	4
Simulation_55	1.401	0.065	0.098	0.77	0.423	55	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5028.1008265604	4
Simulation_56	1.275	0.048	0.016	1.24	0.479	56	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	9183.55936576675	4
Simulation_57	2.281	0.093	0.089	2.495	0.931	57	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	2815.32267737443	2
Simulation_58	2.784	0.025	0.125	0.613	0.705	58	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5372.48142612303	5
Simulation_59	1.778	0.07	0.052	1.868	0.254	59	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	7747.34499517765	4
Simulation_60	1.527	0.014	0.107	1.554	0.592	60	0.05	12000	1000	1	500	111	1	0	1	162	170	8	0	-1	-1	3507.91241748923	3
Simulation_61	2.532	0.059	0.034	2.809	0.141	61	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5842.49212074588	4
Simulation_62	2.029	0.037	0.071	0.926	0.366	62	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	6595.18789989823	4
Simulation_63	1.024	0.082	0.143	2.181	0.818	63	0.05	12000	1000	1	500	111	1	0	1	1462	1476	14	1	0.857642940490082	26	8555.36998035818	4
Simulation_64	1.039	0.046	0.07	2.515	0.289	64	0.05	12000	1000	1	500	111	1	0	1	29	40	11	0	-1	-1	4343.26353493817	4
Simulation_65	2.045	0.091	0.142	1.26	0.741	65	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.748541423570595	1	1593.8517988332	1
Simulation_66	2.548	0.023	0.106	1.887	0.966	66	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	5774.07279539982	4
Simulation_67	1.542	0.068	0.033	0.632	0.515	67	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1	4496.46340634304	2
Simulation_68	1.794	0.012	0.124	2.828	0.854	68	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1	4980.041991029	2
Simulation_69	2.8	0.057	0.051	1.574	0.402	69	0.05	12000	1000	1	500	111	1	0	1	34	34	0	1	0.658109684947491	3	4682.92471479189	2
