Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_310	2.418	0.045	0.079	2.578	0.132	310	0.05	12000	1000	1	500	111	1	0	1	31	31	0	1	0.162231484450144	27
Simulation_311	1.413	0.09	0.007	1.324	0.584	311	0.05	12000	1000	1	500	111	0	34	1	1511	1514	3	1	0.502084001282462	537
Simulation_312	1.287	0.017	0.107	0.539	0.753	312	0.05	12000	1000	1	500	111	1	0	1	10	10	0	1	0.275408784866945	10
Simulation_313	2.293	0.062	0.034	1.794	0.301	313	0.05	12000	1000	1	500	111	1	0	1	49	49	0	1	0.195254889387624	17
Simulation_314	2.796	0.039	0.07	1.167	0.527	314	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.415197178582879	10
Simulation_315	1.79	0.084	0.143	2.422	0.979	315	0.05	12000	1000	1	500	111	1	0	1	28	28	0	1	0.139467778134017	18
Simulation_316	1.538	0.05	0.016	0.853	0.414	316	0.05	12000	1000	1	500	111	0	77	1	2043	2046	3	1	0.94453350432831	429
Simulation_317	2.544	0.096	0.089	2.108	0.866	317	0.05	12000	1000	1	500	111	1	0	1	11	11	0	1	0.135941006732927	10
Simulation_318	2.041	0.028	0.125	1.48	0.64	318	0.05	12000	1000	1	500	111	1	0	1	371	379	8	1	0.362936838730362	293
Simulation_319	1.035	0.073	0.052	2.735	0.188	319	0.05	12000	1000	1	500	111	0	138	1	1721	1721	0	1	0.152613016992626	329
Simulation_320	1.051	0.019	0.126	1.814	0.901	320	0.05	12000	1000	1	500	111	0	54	1	1583	1628	45	1	0.140109009297852	1041
Simulation_321	2.057	0.064	0.053	0.559	0.449	321	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.436678422571337	3
Simulation_322	2.56	0.041	0.017	2.441	0.224	322	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_323	1.554	0.087	0.09	1.186	0.675	323	0.05	12000	1000	1	500	111	1	0	1	29	29	0	1	0.759217697980122	23
Simulation_324	1.806	0.053	0.072	2.127	0.111	324	0.05	12000	1000	1	500	111	1	0	1	64	64	0	1	0.187880731003527	57
Simulation_325	2.811	0.098	0.144	0.873	0.562	325	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.572940044886181	2
Simulation_326	2.308	0.03	0.108	2.755	0.788	326	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_327	1.303	0.075	0.035	1.5	0.336	327	0.05	12000	1000	1	500	111	0	189	1	3342	3343	1	1	0.144918243026611	478
Simulation_328	1.428	0.036	0.081	1.029	0.506	328	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_329	2.434	0.081	0.008	2.284	0.958	329	0.05	12000	1000	1	500	111	1	0	1	5	5	0	1	0.116062840654056	4
Simulation_330	2.937	0.013	0.044	1.657	0.732	330	0.05	12000	1000	1	500	111	1	0	1	45	50	5	1	0.00545046489259378	3
Simulation_331	1.931	0.058	0.117	2.912	0.28	331	0.05	12000	1000	1	500	111	1	0	1	17	17	0	1	0.185636421930106	11
Simulation_332	1.68	0.024	0.026	0.716	0.619	332	0.05	12000	1000	1	500	111	1	0	1	65	66	1	1	0.62968900288554	42
Simulation_333	2.686	0.07	0.099	1.971	0.167	333	0.05	12000	1000	1	500	111	1	0	1	1	1	0	0	-1	-1
Simulation_334	2.183	0.047	0.135	1.343	0.393	334	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_335	1.177	0.092	0.062	2.598	0.845	335	0.05	12000	1000	1	500	111	0	109	1	1173	1174	1	1	0.626482847066367	491
Simulation_336	1.24	0.044	0.012	2.833	0.704	336	0.05	12000	1000	1	500	111	0	61	1	3994	4004	10	1	0.419685796729721	80
Simulation_337	2.246	0.089	0.085	1.578	0.252	337	0.05	12000	1000	1	500	111	1	0	1	329	329	0	1	0.13562039115101	165
Simulation_338	2.749	0.021	0.122	2.206	0.478	338	0.05	12000	1000	1	500	111	1	0	1	23	23	0	0	-1	-1
Simulation_339	1.743	0.067	0.049	0.951	0.929	339	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_340	1.994	0.01	0.103	2.52	0.365	340	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_341	3	0.055	0.031	1.265	0.816	341	0.05	12000	1000	1	500	111	1	0	1	16	16	0	1	0.0702148124398846	12
Simulation_342	2.497	0.033	0.067	1.892	0.591	342	0.05	12000	1000	1	500	111	1	0	1	98	98	0	1	0.359730682911189	84
Simulation_343	1.491	0.078	0.14	0.637	0.139	343	0.05	12000	1000	1	500	111	0	61	1	1193	1193	0	1	0.957037512023084	521
