Sim_index	S	omega_T	sigma_e	disp_shape	disp_scale	seed	divergence_factor	max_species	max_coex_sp	start_species	init_ab	grid_cell_distance	finished	final_timestep	initial_nb_species	final_nb_species	sp_events	ex_events	exchanged	prop_col_area	div_col
Simulation_455	1.279	0.093	0.148	1.98	0.284	455	0.05	12000	1000	1	500	111	1	0	1	1061	1061	0	1	0.142032702789356	401
Simulation_456	1.405	0.02	0.048	2.451	0.114	456	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_457	2.411	0.065	0.121	1.196	0.566	457	0.05	12000	1000	1	500	111	1	0	1	20	20	0	1	0.727476755370311	12
Simulation_458	2.914	0.042	0.085	1.824	0.792	458	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.431227957678743	4
Simulation_459	1.908	0.088	0.012	0.569	0.34	459	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_460	1.656	0.054	0.139	2.765	0.905	460	0.05	12000	1000	1	500	111	1	0	1	18	18	0	1	0.852837447899968	16
Simulation_461	2.662	0.099	0.066	1.51	0.453	461	0.05	12000	1000	1	500	111	1	0	1	37	37	0	1	0.150048092337288	29
Simulation_462	2.159	0.031	0.03	2.137	0.227	462	0.05	12000	1000	1	500	111	1	0	1	438	440	2	0	-1	-1
Simulation_463	1.153	0.076	0.103	0.882	0.679	463	0.05	12000	1000	1	500	111	1	0	1	16	16	0	1	0.508175697338891	14
Simulation_464	1.216	0.028	0.116	0.804	0.876	464	0.05	12000	1000	1	500	111	1	0	1	2	2	0	1	0.196537351715293	2
Simulation_465	2.222	0.073	0.044	2.059	0.425	465	0.05	12000	1000	1	500	111	1	0	1	178	178	0	1	0.110932991343379	75
Simulation_466	2.725	0.051	0.007	1.431	0.199	466	0.05	12000	1000	1	500	111	1	0	1	19	20	1	1	0.163834562359731	8
Simulation_467	1.719	0.096	0.08	2.686	0.651	467	0.05	12000	1000	1	500	111	1	0	1	38	38	0	1	0.134658544405258	18
Simulation_468	1.971	0.04	0.062	1.118	0.312	468	0.05	12000	1000	1	500	111	1	0	1	580	581	1	1	0.985251683231805	408
Simulation_469	2.976	0.085	0.135	2.373	0.764	469	0.05	12000	1000	1	500	111	1	0	1	52	52	0	1	0.115742225072139	29
Simulation_470	2.473	0.017	0.098	1.745	0.989	470	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_471	1.468	0.062	0.025	3	0.538	471	0.05	12000	1000	1	500	111	1	0	1	570	570	0	1	0.355883295928182	333
Simulation_472	1.342	0.045	0.089	2.216	0.368	472	0.05	12000	1000	1	500	111	1	0	1	1031	1031	0	1	0.207117665918564	957
Simulation_473	2.348	0.09	0.016	0.961	0.82	473	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_474	2.851	0.023	0.053	2.843	0.594	474	0.05	12000	1000	1	500	111	1	0	1	27	27	0	0	-1	-1
Simulation_475	1.845	0.068	0.126	1.588	0.142	475	0.05	12000	1000	1	500	111	1	0	1	61	61	0	1	0.192048733568451	31
Simulation_476	1.593	0.011	0.035	1.902	0.707	476	0.05	12000	1000	1	500	111	1	0	1	294	306	12	0	-1	-1
Simulation_477	2.599	0.057	0.107	0.647	0.255	477	0.05	12000	1000	1	500	111	1	0	1	3	3	0	1	0.700224430907342	3
Simulation_478	2.096	0.034	0.144	2.529	0.481	478	0.05	12000	1000	1	500	111	1	0	1	4	4	0	0	-1	-1
Simulation_479	1.09	0.079	0.071	1.275	0.933	479	0.05	12000	1000	1	500	111	1	0	1	46	46	0	1	0.109009297851876	33
Simulation_480	1.059	0.013	0.078	2.725	0.213	480	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_481	2.065	0.058	0.005	1.471	0.665	481	0.05	12000	1000	1	500	111	1	0	1	1851	1851	0	1	0.802821417120872	425
Simulation_482	2.568	0.035	0.041	2.098	0.891	482	0.05	12000	1000	1	500	111	1	0	1	22	22	0	1	0.859249759538314	22
Simulation_483	1.562	0.081	0.114	0.843	0.439	483	0.05	12000	1000	1	500	111	1	0	1	109	110	1	1	0.997755690926579	68
Simulation_484	1.813	0.047	0.023	2.412	0.778	484	0.05	12000	1000	1	500	111	1	0	1	357	357	0	1	0.997435075344662	317
Simulation_485	2.819	0.092	0.096	1.157	0.326	485	0.05	12000	1000	1	500	111	1	0	1	91	91	0	1	0.133376082077589	54
Simulation_486	2.316	0.024	0.132	1.784	0.1	486	0.05	12000	1000	1	500	111	1	0	1	16	21	5	0	-1	-1
Simulation_487	1.31	0.069	0.06	0.529	0.552	487	0.05	12000	1000	1	500	111	1	0	1	9	9	0	1	0.503687079192049	9
Simulation_488	1.436	0.041	0.123	1.314	0.721	488	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
Simulation_489	2.442	0.086	0.05	2.569	0.269	489	0.05	12000	1000	1	500	111	1	0	1	548	548	0	1	0.134017313241424	275
Simulation_490	2.945	0.018	0.014	0.686	0.495	490	0.05	12000	1000	1	500	111	1	0	1	8	9	1	1	0.307149727476755	8
Simulation_491	1.939	0.064	0.087	1.941	0.947	491	0.05	12000	1000	1	500	111	1	0	1	24	24	0	1	0.583199743507534	16
Simulation_492	1.688	0.03	0.069	1.627	0.382	492	0.05	12000	1000	1	500	111	1	0	1	434	434	0	1	0.176659185636422	63
Simulation_493	2.694	0.075	0.141	2.882	0.834	493	0.05	12000	1000	1	500	111	1	0	1	4	4	0	1	0.0916960564283424	4
Simulation_494	2.191	0.052	0.105	1	0.608	494	0.05	12000	1000	1	500	111	1	0	1	23	23	0	1	0.913113177300417	23
Simulation_495	1.185	0.098	0.032	2.255	0.156	495	0.05	12000	1000	1	500	111	1	0	1	23	23	0	0	-1	-1
Simulation_496	1.122	0.049	0.055	1.863	0.467	496	0.05	12000	1000	1	500	111	0	97	1	2500	2500	0	1	0.445655658865021	951
Simulation_497	2.128	0.095	0.128	0.608	0.919	497	0.05	12000	1000	1	500	111	1	0	1	1	1	0	1	-1	-1
Simulation_498	2.631	0.027	0.091	2.49	0.693	498	0.05	12000	1000	1	500	111	1	0	1	68	68	0	1	0.0339852516832318	8
Simulation_499	1.625	0.072	0.019	1.235	0.241	499	0.05	12000	1000	1	500	111	1	0	1	209	209	0	1	0.16864379608849	85
Simulation_500	1.876	0.015	0.146	2.176	0.58	500	0.05	12000	1000	1	500	111	1	0	1	0	1	1	-1	-1	-1
